吧,ba,(modal particle indicating polite suggestion);...right?;...OK?
白,bai2,white;snowy;pure;bright;empty;blank;plain;clear;to make clear;in vain;gratuitous;free of charge;reactionary;anti-communist;funeral;to stare coldly;to write wrong character;to state;to explain;vernacular;spoken lines in opera;surname Bai
百,bai3,hundred;numerous;all kinds of;surname Bai
帮助,bang1zhu4,assistance;aid;to help;to assist
报纸,bao4zhi3,newspaper;newsprint;CL:份[fen4],期[qi1],張|张[zhang1]
比,bi3,(particle used for comparison and -er than);to compare;to contrast;to gesture (with hands);ratio
别,bie2,to leave;to depart;to separate;to distinguish;to classify;other;another;do not;must not;to pin
长,chang2,length;long;forever;always;constantly
唱歌,chang4ge1,to sing a song
出,chu1,to go out;to come out;to occur;to produce;to go beyond;to rise;to put forth;to happen;classifier for dramas, plays, operas etc
穿,chuan1,to bore through;pierce;perforate;penetrate;pass through;to dress;to wear;to put on;to thread
船,chuan2,a boat;vessel;ship;CL:條|条[tiao2],艘[sou1],隻|只[zhi1]
次,ci4,next in sequence;second;the second (day, time etc);secondary;vice-;sub-;infra-;inferior quality;substandard;order;sequence;hypo- (chemistry);classifier for enumerated events: time
错,cuo4,mistake;error;blunder;fault;cross;uneven;wrong;CL:個|个[ge4]
打篮球,da3lan2qiu2,play basketball
大家,da4jia1,authority;everyone
但是,dan4shi4,but;however
到,dao4,to (a place);until (a time);up to;to go;to arrive
得,de,structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
等,deng3,to wait for;to await
弟弟,di4di,younger brother;CL:個|个[ge4],位[wei4]
第一,di4yi1,first;number one
懂,dong3,to understand;to know
对,dui4,for;to
对,dui4,right
房间,fang2jian1,room;CL:間|间[jian1]
非常,fei1chang2,unusual;extraordinary;extreme;very;exceptional
服务员,fu2wu4yuan2,waiter;waitress;attendant;customer service personnel;CL:個|个[ge4]
高,gao1,high;tall;above average;loud;your (honorific);surname Gao
告诉,gao4su,to tell;to inform;to let know
哥哥,ge1ge,older brother;CL:個|个[ge4],位[wei4]
给,gei3,to;for;for the benefit of;to give;to allow;to do sth (for sb);(passive particle)
公共汽车,gong1gong4qi4che1,bus;CL:輛|辆[liang4],班[ban1]
公斤,gong1jin1,kilogram (kg)
公司,gong1si1,(business) company;company;firm;corporation;incorporated;CL:家[jia1]
贵,gui4,expensive;noble;your (name);precious
过,guo4,to pass (time);to celebrate (a holiday);to live;to get along
还,hai2,still;still in progress;still more;yet;even more;in addition;fairly;passably (good);as early as;even;also;else
孩子,hai2zi,child
好吃,hao3chi1,tasty;delicious
号,hao4,day of a month;(suffix used after) name of a ship;(ordinal) number
黑,hei1,black;dark;abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China
红,hong2,bonus;popular;red;revolutionary
欢迎,huan1ying2,to welcome;welcome
回答,hui2da2,to reply;to answer;the answer;CL:個|个[ge4]
