爱情,ai4qing2,romance;love (romantic);CL:個|个[ge4]
按时,an4shi2,on time;before deadline;on schedule
保证,bao3zheng4,guarantee;to guarantee;to ensure;to safeguard;to pledge;CL:個|个[ge4]
抱歉,bao4qian4,sorry;We apologize!;to feel apologetic;to regret
笔记本,bi3ji4ben3,notebook;CL:本[ben3]
表达,biao3da2,to voice (an opinion);to express;to convey
并且,bing4qie3,and;besides;moreover;furthermore;in addition
不管,bu4guan3,no matter (what, how);regardless of;no matter
猜,cai1,to guess
尝,chang2,to taste;flavor;(past tense marker);already;formerly;ever;once;test
吵,chao3,to quarrel;to make a noise;noisy;to disturb by making a noise
成为,cheng2wei2,to become;to turn into
抽烟,chou1yan1,to smoke (a cigarette, tobacco)
传真,chuan2zhen1,fax;facsimile
粗心,cu1xin1,careless;thoughtless
打印,da3yin4,to print;to seal;to stamp
大使馆,da4shi3guan3,embassy;CL:座[zuo4],個|个[ge4]
大夫,dai4fu,doctor;minister of state (in pre-Han states);CL:個|个[ge4],位[wei4]
当时,dang1shi2,then;at that time;while
到底,dao4di3,finally;in the end;when all is said and done;after all;to the end;to the last
等,deng3,et cetera;and so on;et al. (and other authors);after;as soon as;once
掉,diao4,to fall;to drop;to lag behind;to lose;to go missing;to reduce;fall (in prices);to lose (value, weight etc);to wag;to swing;to turn;to change;to exchange;to swap;to show off;to shed (hair)
堵车,du3che1,traffic jam;choking
对面,dui4mian4,opposite
儿童,er2tong2,child;CL:個|个[ge4]
法律,fa3lv4,law;CL:條|条[tiao2], 套[tao4], 個|个[ge4]
反映,fan3ying4,to mirror;to reflect;mirror image;reflection;fig. to report;to make known;to render;used erroneously for 反應|反应, response or reaction
方向,fang1xiang4,direction;orientation;path to follow;CL:個|个[ge4]
…分之…,fen1zhi1,used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%
否则,fou3ze2,if not;otherwise;else;or else
复印,fu4yin4,to photocopy;to duplicate a document
干杯,gan1bei1,to drink a toast;Cheers! (proposing a toast);Here's to you!;Bottoms up!;lit. dry cup
感情,gan3qing2,feeling;emotion;sensation;likes and dislikes;deep affection for sb or sth;relationship (i.e. love affair);CL:個|个[ge4],種|种[zhong3]
个子,ge4zi,height;stature;build;size
共同,gong4tong2,common;joint;jointly;together;collaborative
估计,gu1ji4,to estimate;to reckon;CL:個|个[ge4]
故意,gu4yi4,deliberately;on purpose
管理,guan3li3,to supervise;to manage;to administer;management;administration;CL:個|个[ge4]
逛,guang4,to stroll;to visit
过程,guo4cheng2,course of events;process;CL:個|个[ge4]
汗,han4,perspiration;sweat;CL:滴[di1],頭|头[tou2],身[shen1];Khan (Persian or Mongol king or emperor);Khan (name);to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)
号码,hao4ma3,number;CL:堆[dui1],個|个[ge4]
猴子,hou2zi,monkey;CL:隻|只[zhi1]
忽然,hu1ran2,suddenly;all of a sudden
还,huan2,to pay back;to return;surname Huan
火,huo3,fire;CL:把[ba3]
积极,ji1ji2,active;energetic;vigorous;positive (outlook);proactive
及时,ji2shi2,in time;promptly;without delay;timely
既然,ji4ran2,since;as;this being the case
加班,jia1ban1,to work overtime
价格,jia4ge2,price;CL:個|个[ge4]
将来,jiang1lai2,in the future;future;the future;CL:個|个[ge4]
骄傲,jiao1ao4,arrogant;full of oneself;conceited;proud of sth;CL:個|个[ge4]
教授,jiao4shou4,professor;to instruct;to lecture on;CL:個|个[ge4],位[wei4]
解释,jie3shi4,explanation;to explain;to interpret;to resolve;CL:個|个[ge4]
禁止,jin4zhi3,to prohibit;to forbid;to ban
经历,jing1li4,experience;CL:個|个[ge4],次[ci4];to experience;to go through
竟然,jing4ran2,unexpectedly;to one's surprise;in spite of everything;in that crazy way;actually;to go as far as to
举办,ju3ban4,to conduct;to hold
看法,kan4fa3,way of looking at a thing;view;opinion;CL:個|个[ge4]
咳嗽,ke2sou,to cough;CL:陣|阵[zhen4]
肯定,ken3ding4,to be sure;to be certain;sure;certain;definite;to confirm;to affirm;affirmative
宽,kuan1,lenient;wide;broad
拉,la1,to pull;to play (string instruments);to drag;to draw
来得及,lai2deji2,there's still time;able to do sth in time
老虎,lao3hu3,tiger;CL:隻|只[zhi1]
礼貌,li3mao4,courtesy;manners
例如,li4ru2,for example;for instance;such as
凉快,liang2kuai,nice and cold;pleasantly cool
留,liu2,to leave (eg a message);to retain;to stay;to remain;to keep;to preserve
留学,liu2xue2,to study abroad
马虎,ma3hu,careless;sloppy;negligent;skimpy
梦,meng4,dream;CL:場|场[chang2],個|个[ge4]
母亲,mu3qin1,mother;also pr. with light tone [mu3 qin5];CL:個|个[ge4]
难受,nan2shou4,to feel unwell;to suffer pain;to be difficult to bear
年龄,nian2ling2,(a person's) age;CL:把[ba3],個|个[ge4]
偶尔,ou3er3,occasionally;once in a while;sometimes
批评,pi1ping2,to criticize;criticism;CL:個|个[ge4]
乒乓球,ping1pang1qiu2,table tennis;ping-pong;ping pong;table tennis ball;CL:個|个[ge4]
普遍,pu3bian4,universal;general;widespread;common
气候,qi4hou4,climate;atmosphere;situation;CL:種|种[zhong3]
敲,qiao1,extort;knock;to strike;to knock (at a door);to hit
轻,qing1,light;easy;gentle;soft;reckless;unimportant;frivolous;small in number;unstressed;neutral
