安全,an1quan2,safe;secure;safety;security
包括,bao1kuo4,to comprise;to include;to involve;to incorporate;to consist of
报道,bao4dao4,report;CL:篇[pian1],份[fen4]
本来,ben3lai2,original;originally;at first;it goes without saying;of course
遍,bian4,a time;everywhere;turn;all over;one time
表扬,biao3yang2,to praise;to commend
不但,bu4dan4,not only (... but also...)
不仅,bu4jin3,not only (this one);not just (...) but also
参观,can1guan1,to look around;to inspect;visit and observe
长江,Chang2jiang1,Changjiang river;Yangtze river
诚实,cheng2shi2,honest;honesty;honorable;truthful
吃惊,chi1jing1,to be startled;to be shocked;to be amazed
出发,chu1fa1,to start out;to set off
词典,ci2dian3,dictionary (of Chinese compound words);also written 辭典|辞典[ci2 dian3];CL:部[bu4],本[ben3]
打扮,da3ban,to decorate;to dress;to make up;to adorn;manner of dressing;style of dress
打针,da3zhen1,to give or have an injection
戴,dai4,to put on or wear (glasses, hat, gloves etc);to respect;to bear;to support
当,dang1,to be;to act as;manage;withstand;when;during;ought;should;match equally;equal;same;obstruct;just at (a time or place);on the spot;right;just at
导游,dao3you2,tour guide;to conduct a tour;a guidebook
得意,de2yi4,proud of oneself;pleased with oneself;complacent
地球,di4qiu2,the Earth;planet;CL:個|个[ge4]
丢,diu1,to lose;to put aside;to throw
断,duan4,to break;to snap;to cut off;to give up or abstain from sth;to judge;(usu. used in the negative) absolutely, definitely,decidedly
朵,duo3,flower;earlobe;fig. item on both sides;classifier for flowers, clouds etc
发生,fa1sheng1,to happen;to occur;to take place;to break out
烦恼,fan2nao3,agonize;agony;annoyance;upset;vexation;worries
方法,fang1fa3,method;way;means;CL:個|个[ge4]
放弃,fang4qi4,to renounce;to abandon;to give up
丰富,feng1fu4,rich;plentiful;abundant
富,fu4,rich;surname Fu
负责,fu4ze2,to be in charge of;to take responsibility for;to be to blame;conscientious
感动,gan3dong4,to move (sb);to touch (sb emotionally);moving
高级,gao1ji2,high level;high grade;advanced;high-ranking
公里,gong1li3,kilometer
购物,gou4wu4,shopping
鼓掌,gu3zhang3,to applaud;to clap
