暗,an4,dark;gloomy;hidden;secret;muddled;obscure;in the dark
保护,bao3hu4,to protect;to defend;to safeguard;protection;CL:種|种[zhong3]
报名,bao4ming2,to sign up;to enter one's name;to apply;to register;to enroll;to enlist
笨,ben4,stupid;foolish;silly;slow-witted;clumsy
标准,biao1zhun3,(an official) standard;norm;criterion;CL:個|个[ge4]
饼干,bing3gan1,biscuit;cracker;cookie;CL:片[pian4],塊|块[kuai4]
不得不,bu4de2bu4,have no choice or option but to;cannot but;have to;can't help it;can't avoid
擦,ca1,to wipe;to erase;rubbing (brush stroke in painting);to clean;to polish
差不多,cha4buduo1,almost;nearly;more or less
超过,chao1guo4,to surpass;to exceed;to outstrip
成熟,cheng2shu2,mature;ripe;Taiwan pr. cheng2 shou2
重新,chong2xin1,again;once more;re-
出生,chu1sheng1,to be born
从来,cong2lai2,always;at all times;never (if used in negative sentence)
打扰,da3rao3,to disturb;to bother;to trouble
大概,da4gai4,roughly;probably;rough;approximate;about
代表,dai4biao3,representative;delegate;CL:位[wei4],個|个[ge4],名[ming2];to represent;to stand for;on behalf of;in the name of
当地,dang1di4,local
到处,dao4chu4,in all places;everywhere
得,dei3,to have to;must;ought to;to need to
地址,di4zhi3,address;CL:個|个[ge4]
动作,dong4zuo4,movement;motion;action;CL:個|个[ge4]
对话,dui4hua4,dialog;CL:個|个[ge4]
而,er2,and;as well as;and so;but (not);yet (not);(indicates causal relation);(indicates change of state);(indicates contrast)
发展,fa1zhan3,development;growth;to develop;to grow;to expand
反对,fan3dui4,to fight against;to oppose;to be opposed to;opposition
方面,fang1mian4,respect;aspect;field;side;CL:個|个[ge4]
放暑假,fang4shu3jia4,take summer vacation
风景,feng1jing3,scenery;landscape;CL:個|个[ge4]
父亲,fu4qin1,father;also pr. with light tone [fu4 qin5];CL:個|个[ge4]
改变,gai3bian4,to change;to alter;to transform
感觉,gan3jue2,to feel;to become aware of;feeling;sense;perception;CL:個|个[ge4]
各,ge4,each;every
工资,gong1zi1,wages;pay;CL:個|个[ge4],份[fen4],月[yue4]
孤单,gu1dan1,lone;lonely;loneliness
顾客,gu4ke4,client;customer;CL:位[wei4]
观众,guan1zhong4,spectators;audience;visitors (to an exhibition etc)
广告,guang3gao4,to advertise;a commercial;advertisement;CL:項|项[xiang4]
果然,guo3ran2,really;sure enough;as expected
寒假,han2jia4,winter vacation
好像,hao3xiang4,as if;to seem like
盒子,he2zi,case
后来,hou4lai2,afterwards;later
怀疑,huai2yi2,to doubt;to suspect;doubt;suspicion;skeptical
活泼,huo2po,lively;vivacious;brisk;active
激动,ji1dong4,to excite;to agitate;exciting
极其,ji2qi2,extremely
计划,ji4hua4,plan;project;program;to plan;to map out;CL:個|个[ge4],項|项[xiang4]
记者,ji4zhe3,reporter;journalist;CL:個|个[ge4]
假,jia3,fake;false;artificial;to borrow;if;suppose
减少,jian3shao3,to lessen;to decrease;to reduce;to lower
交,jiao1,to hand over;to deliver;to pay (money);to turn over;to make friends;to intersect (lines)
饺子,jiao3zi,dumpling;pot-sticker;CL:個|个[ge4],隻|只[zhi1]
节约,jie2yue1,to economize;to conserve (resources);economy;frugal
进行,jin4xing2,to advance;to conduct;underway;in progress;to do;to carry out;to carry on;to execute
京剧,Jing1ju4,Beijing opera;CL:場|场[chang3],出[chu1]
警察,jing3cha2,police;policeman;policewoman;CL:個|个[ge4]
究竟,jiu1jing4,after all (when all is said and done);actually;outcome;result
开玩笑,kai1wan2xiao4,to play a joke;to make fun of;to joke
科学,ke1xue2,science;scientific knowledge;scientific;CL:門|门[men2],個|个[ge4],種|种[zhong3]
可惜,ke3xi1,it is a pity;what a pity;(it's) too bad
苦,ku3,bitter;hardship;pain;to suffer;painstaking
扩大,kuo4da4,to expand;to enlarge;to broaden one's scope
来不及,lai2buji2,there's not enough time (to do sth);it's too late (to do sth)
浪漫,lang4man4,romantic
理解,li3jie3,to comprehend;to understand;comprehension;understanding
力气,li4qi,strength;CL:把[ba3]
联系,lian2xi4,connection;contact;relation;in touch with;to integrate;to link;to touch
另外,ling4wai4,additional;in addition;besides;separate;other;moreover;furthermore
流行,liu2xing2,to spread;to rage (of contagious disease);popular;fashionable;prevalent;(math.) manifold
麻烦,ma2fan,inconvenient;troublesome;to trouble or bother sb;to put sb to trouble
美丽,mei3li4,beautiful
民族,min2zu2,nationality;ethnic group;CL:個|个[ge4]
难道,nan2dao4,don't tell me ...;could it be that...?
能力,neng2li4,capability;capable;able;ability;CL:個|个[ge4]
暖和,nuan3huo,warm;nice and warm
陪,pei2,to accompany;to keep sb company
骗,pian4,to cheat;to swindle;to deceive;to fool;to hoodwink;to trick
破,po4,broken;damaged;worn out;to break, split or cleave;to get rid of;to destroy;to break with;to defeat;to capture (a city etc);to expose the truth of
起飞,qi3fei1,to take off (in an airplane)
墙,qiang2,wall;CL:面[mian4],堵[du3]
亲戚,qin1qi,a relative (i.e. family relation);CL:門|门[men2],個|个[ge4],位[wei4]
请假,qing3jia4,ask for time off
取,qu3,to take;to get;to choose;to fetch
却,que4,but;yet;however;while;to go back;to decline;to retreat;nevertheless;even though
热闹,re4nao,bustling with noise and excitement;lively
扔,reng1,to throw;to throw away
软,ruan3,soft;flexible
商量,shang1liang,to consult;to talk over;to discuss
