爱惜,ai4xi1,to cherish;to treasure;to use sparingly
棒,bang4,a stick;club or cudgel;smart;capable;strong;wonderful;classifier for legs of a relay race
宝贵,bao3gui4,valuable;precious;value;treasure;set store by
本领,ben3ling3,skill;ability;capability;CL:項|项[xiang4],個|个[ge4]
必要,bi4yao4,necessary;essential;indispensable;required
表情,biao3qing2,(facial) expression;to express one's feelings;expression
不安,bu4an1,unpeaceful;unstable;uneasy;disturbed;restless;worried
不耐烦,bu4nai4fan2,impatience;impatient
彩虹,cai3hong2,rainbow
册,ce4,book;booklet;classifier for books
产生,chan3sheng1,to arise;to come into being;to come about;to give rise to;to bring into being;to bring about;to produce;to engender;to generate;to appear;appearance;emergence;generation;production;yield
车厢,che1xiang1,carriage;CL:節|节[jie2]
程度,cheng2du4,degree (level or extent);level;CL:個|个[ge4]
成语,cheng2yu3,Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation;idiom;proverb;saying;adage;set expression;CL:條|条[tiao2],本[ben3],句[ju4]
充分,chong1fen4,full;abundant
初级,chu1ji2,junior;primary
传递,chuan2di4,to transmit;to pass on to sb else
辞职,ci2zhi2,to resign
从事,cong2shi4,to go for;to engage in;to undertake;to deal with;to handle;to do
答应,da1ying,to promise;to agree;to reply;to respond
大型,da4xing2,large scale;wide scale;broad scale
耽误,dan1wu,delay;hold-up;to waste time;to interfere with
导致,dao3zhi4,to lead to;to create;to cause;to bring about
等于,deng3yu2,to equal;to be tantamount to
地震,di4zhen4,earthquake
洞,dong4,cave;hole;zero (unambiguous spoken form when spelling out numbers);CL:個|个[ge4]
对比,dui4bi3,contrast;balance;CL:個|个[ge4]
多余,duo1yu2,superfluous;unnecessary;surplus
发票,fa1piao4,invoice;receipt or bill for purchase
反正,fan3zheng4,to put things back in order;to return to the correct path;in any event;come what may;whatever happens (I'm still sure it's right);anyway
肥皂,fei2zao4,soap;CL:塊|块[kuai4],條|条[tiao2]
奋斗,fen4dou4,to strive;to struggle
幅,fu2,width;roll;classifier for textiles or pictures
改进,gai3jin4,to improve;to make better;CL:個|个[ge4]
