爱心,ai4xin1,compassion;CL:片[pian4]
傍晚,bang4wan3,in the evening;when night falls;towards evening;at night fall;at dusk
保留,bao3liu2,to retain;to continue to have;to preserve;to maintain;to reserve;reservations;to hold back (approval or acceptance)
本质,ben3zhi4,essence;nature;innate character;intrinsic quality
编辑,bian1ji2,to edit;to compile;editor;compiler
表现,biao3xian4,to show;to show off;to display;to manifest;expression;manifestation;show;display;performance (at work etc)
不必,bu4bi4,need not;does not have to
不然,bu4ran2,not so;no;or else;otherwise;if not
采取,cai3qu3,to adopt or carry out (measures, policies, course of action);to take
厕所,ce4suo3,toilet;lavatory;CL:間|间[jian1],處|处[chu4]
常识,chang2shi2,common sense;general knowledge;CL:門|门[men2]
彻底,che4di3,thorough;thoroughly;complete
成分,cheng2fen4,composition;make-up;ingredient;element;component;one's social status;CL:個|个[ge4]
成长,cheng2zhang3,to mature;to grow;growth
充满,chong1man3,full of;brimming with;very full;permeated
出口,chu1kou3,an exit;CL:個|个[ge4];to speak;to export;(of a ship) to leave port
传染,chuan2ran3,to infect;contagious
此外,ci3wai4,besides;in addition;moreover;furthermore
醋,cu4,vinegar
达到,da2dao4,to reach;to achieve;to attain
呆,dai1,foolish;stupid;expressionless;blank;to stay
单元,dan1yuan2,unit;entrance number;staircase (for residential buildings)
倒,dao4,to move backwards;converse
滴,di1,a drop;to drip
点头,dian3tou2,to nod
动画片,dong4hua4pian1,cartoon;animation
对待,dui4dai4,to treat;treatment
躲藏,duo3cang2,to hide oneself
发言,fa1yan2,statement;utterance;CL:個|个[ge4]
方,fang1,square;power or involution (mathematics);upright;honest;fair and square;direction;side;party (to a contract, dispute etc);place;method;prescription (medicine);upright or honest;just when;only or just;classifier for square things;abbr. for square or cubic meter
肺,fei4,lung;CL:個|个[ge4]
愤怒,fen4nu4,angry;indignant
扶,fu2,to support with hand;to help sb up;to help
改善,gai3shan4,to make better;to improve;CL:個|个[ge4]
感受,gan3shou4,to sense;perception;to feel (through the senses);a feeling;an impression;an experience
胳膊,ge1bo,arm;CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]
根本,gen1ben3,fundamental;basic;root;simply;absolutely (not);(not) at all;CL:個|个[ge4]
公平,gong1ping2,fair;impartial
姑姑,gu1gu,paternal aunt;CL:個|个[ge4]
故事,gu4shi,story;tale;narrative
观察,guan1cha2,to observe;to watch;to survey;to examine;observation;view;perspective;CL:個|个[ge4]
光明,guang1ming2,light;illumination;radiance (esp. glory of Buddha etc);fig. bright prospect;openhearted
规则,gui1ze2,rule;regulation;rules and regulations
过期,guo4qi1,to be overdue;to exceed the time limit;to expire (as in expiration date)
何必,he2bi4,there is no need;why should
恨,hen4,to hate;to regret
糊涂,hu2tu,muddled;silly;confused
缓解,huan3jie3,to ease;to help relieve (a crisis)
灰尘,hui1chen2,dust
基本,ji1ben3,basic;fundamental;main;elementary
纪录,ji4lu4,record
家务,jia1wu4,household duties;housework
煎,jian1,to pan fry;to sauté
简历,jian3li4,Curriculum Vitae (CV);résumé (resume);biographical notes
讲座,jiang3zuo4,a course of lectures;CL:個|个[ge4]
狡猾,jiao3hua2,crafty;cunning;sly
接着,jie1zhe,to catch and hold on;to continue;to go on to do sth;to follow;to carry on;then;after that;subsequently;to proceed;to ensue;in turn;in one's turn
届,jie4,to arrive at (place or time);period;to become due;classifier for events, meetings, elections, sporting fixtures etc
近代,jin4dai4,modern times
酒吧,jiu3ba1,bar;pub;saloon;CL:家[jia1]
聚会,ju4hui4,party;gathering;to meet;to get together
决心,jue2xin1,determination;resolution;determined;firm and resolute;to make up one's mind;CL:個|个[ge4]
看不起,kan4buqi3,to look down upon;to despise
克服,ke4fu2,(try to) overcome (hardships etc);to conquer;to put up with;to endure
夸,kua1,to boast;to exaggerate;to praise
劳动,lao2dong4,work;toil;physical labor;CL:次[ci4]
累,lei4,tired;weary;to strain;to wear out;to work hard
立方,li4fang1,cube
