安装,an1zhuang1,install;erect;fix;mount;installation
包含,bao1han2,to contain;to embody;to include
报告,bao4gao4,to inform;report;make known;speech;talk;lecture;CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]
比例,bi3li4,proportion;scale
便,bian4,ordinary;plain;convenient;as convenient;when the chance arises;handy;easy;informal;simple;so;thus;to relieve oneself;to urinate;to defecate;equivalent to 就: then;in that case;even if;soon afterwards
病毒,bing4du2,virus
不断,bu4duan4,unceasing;uninterrupted;continuous;constant
不要紧,bu4yao4jin3,unimportant;not serious;it doesn't matter;never mind;it looks all right;but
餐厅,can1ting1,dining-hall;dining-room;restaurant;CL:間|间[jian1],家[jia1]
曾经,ceng2jing1,once;already;former;previously;ever;(past tense marker used before verb or clause)
抄,chao1,to copy;to plagiarize;to search and seize;to go;to transcribe;to take a shortcut;to search and confiscate
趁,chen4,to avail oneself of;to take advantage of
成就,cheng2jiu4,accomplishment;success;attain a result;achievement;CL:個|个[ge4]
持续,chi2xu4,to continue;to persist;sustainable;preservation
宠物,chong3wu4,house pet
出席,chu1xi2,to attend;to participate;present
传统,chuan2tong3,tradition;traditional;convention;conventional;CL:個|个[ge4]
次要,ci4yao4,secondary
促使,cu4shi3,to induce;to promote;to urge;to impel;to bring about;to provoke;to drive (sb to do sth);to catalyze;to actuate;to contribute to (some development)
打交道,da3jiao1dao4,to come into contact with;to have dealings
待遇,dai4yu4,treatment;pay;wages;status;salary
淡,dan4,insipid;diluted;weak;mild;light in color;tasteless;fresh;indifferent;nitrogen
道德,dao4de2,virtue;morality;ethics;moral;CL:種|种[zhong3]
敌人,di2ren2,enemy;CL:個|个[ge4]
电池,dian4chi2,battery;CL:節|节[jie2],組|组[zu3]
豆腐,dou4fu,tofu;bean curd
对手,dui4shou3,opponent;adversary;match
发表,fa1biao3,to issue (a statement);to publish;to issue;to put out
法院,fa3yuan4,court of law;court
方式,fang1shi4,way (of life);pattern;style;mode;manner;CL:個|个[ge4]
费用,fei4yong4,cost;expenditure;expense;CL:筆|笔[bi3],個|个[ge4]
疯狂,feng1kuang2,madness;extreme popularity
服装,fu2zhuang1,dress;clothing;costume;clothes;CL:身[shen1]
盖,gai4,lid;top;cover;canopy;to build
干,gan4,to work;to do;to manage
隔壁,ge2bi4,next door
更加,geng4jia1,more (than sth else);even more
工业,gong1ye4,industry;CL:種|种[zhong3]
古代,gu3dai4,ancient times;olden times
雇佣,gu4yong1,to employ;to hire
关怀,guan1huai2,care;solicitude;to show care for;concerned about;attentive to
光荣,guang1rong2,honor and glory;CL:個|个[ge4]
滚,gun3,to boil;to roll;get lost (imperative);take a hike
哈,ha1,laughter;yawn;abbr. for Kazakhstan
何况,he2kuang4,much less;let alone
后果,hou4guo3,consequences;aftermath
花生,hua1sheng1,peanut;groundnut;CL:粒[li4]
慌张,huang1zhang1,confused;flustered
灰心,hui1xin1,lose heart;be discouraged
机器,ji1qi4,machine;CL:臺|台[tai2],部[bu4],個|个[ge4]
纪律,ji4lv4,discipline
夹子,jia1zi,clip;clamp;tongs;folder;wallet
艰巨,jian1ju4,arduous;terrible (task);very difficult;formidable
建立,jian4li4,to build;to establish;to set up;to found
酱油,jiang4you2,soy sauce
教练,jiao4lian4,instructor;sports coach;trainer;CL:個|个[ge4],位[wei4],名[ming2]
结构,jie2gou4,structure;composition;makeup;architecture;CL:座[zuo4],個|个[ge4]
戒烟,jie4yan1,to give up smoking
尽力,jin4li4,to strive one's hardest;to spare no effort
救护车,jiu4hu4che1,ambulance;CL:輛|辆[liang4]
据说,ju4shuo1,it is said that;reportedly
均匀,jun1yun2,even;well-distributed;homogeneous
烤鸭,kao3ya1,roast duck
刻苦,ke4ku3,hardworking;assiduous
矿泉水,kuang4quan2shui3,mineral spring water;CL:瓶[ping2],杯[bei1]
老百姓,lao3bai3xing4,ordinary people;the person in the street;CL:個|个[ge4]
梨,li2,pear;CL:個|个[ge4]
立刻,li4ke4,forthwith;immediate;prompt;promptly;straightway;thereupon;at once
恋爱,lian4ai4,(romantic) love;in love;to have an affair;CL:個|个[ge4]
零食,ling2shi2,between-meal nibbles;snacks
录取,lu4qu3,to recruit;to enroll
馒头,man2tou,steamed roll;steamed bun;steamed bread;CL:個|个[ge4]
美术,mei3shu4,art;fine arts;painting;CL:種|种[zhong3]
面对,mian4dui4,to confront;to face
明确,ming2que4,clear-cut;definite;explicit;to clarify;to specify;to make definite
模糊,mo2hu,vague;indistinct;fuzzy
难怪,nan2guai4,(it's) no wonder (that...);(it's) not surprising (that)
念,nian4,to read;to study (a degree course);to read aloud;to miss (sb);idea;remembrance;twenty (banker's anti-fraud numeral corresponding to 廿, 20)
排队,pai2dui4,to line up
碰见,peng4jian4,to run into;to meet (unexpectedly);to bump into
飘,piao1,to float
评价,ping2jia4,to evaluate;to assess
奇迹,qi2ji4,miracle;miraculous;wonder;marvel
谦虚,qian1xu1,modest;self-effacing;to make modest remarks
悄悄,qiao1qiao1,quietly;secretly;stealthily
勤劳,qin2lao2,hardworking;industrious;diligent
庆祝,qing4zhu4,celebrate
全面,quan2mian4,all-around;comprehensive;total;overall
热烈,re4lie4,warm (welcome etc)
