岸,an4,bank;shore;beach;coast;CL:個|个[ge4]
包子,bao1zi,steamed stuffed bun;CL:個|个[ge4]
悲观,bei1guan1,pessimistic
比如,bi3ru2,for example;for instance;such as
辩论,bian4lun4,debate;argument;to argue over;CL:場|场[chang3],次[ci4]
玻璃,bo1li,glass;nylon;plastic;CL:張|张[zhang1],塊|块[kuai4]
部分,bu4fen,part;share;section;piece;CL:個|个[ge4]
步骤,bu4zhou4,step;move;measure
参与,can1yu4,to participate (in sth)
插,cha1,to insert;stick in;pierce;to take part in;to interfere;to interpose
朝,chao2,imperial or royal court;government;dynasty;reign of a sovereign or emperor;court or assembly held by a sovereign or emperor;to make a pilgrimage to;facing;towards
称,cheng1,to weigh;to state;to name;name;appellation;to praise
诚恳,cheng2ken3,sincere;honest;cordial
池子,chi2zi,pond;CL:個|个[ge4]
抽屉,chou1ti,drawer
除,chu2,to get rid of;to remove;to exclude;to eliminate;to wipe out;to divide;except;not including
窗帘,chuang1lian2,window curtains
匆忙,cong1mang2,hasty;hurried
催,cui1,to urge;to press;to prompt;to rush sb;to hasten sth;to expedite
打喷嚏,da3pen1ti4,to sneeze
单纯,dan1chun2,simple;pure;alone;merely
当代,dang1dai4,the present age;the contemporary era
道理,dao4li3,reason;argument;sense;principle;basis;justification;CL:個|个[ge4]
递,di4,to hand over;to pass on sth;to gradually increase or decrease;progressively
电台,dian4tai2,transmitter-receiver;broadcasting station;radio station;CL:個|个[ge4]
独立,du2li4,independent;independence;to stand alone
对象,dui4xiang4,target;object;partner;boyfriend;girlfriend;CL:個|个[ge4]
发愁,fa1chou2,to worry;to fret;to be anxious;to become sad
繁荣,fan2rong2,prosperous;booming (economy)
妨碍,fang2ai4,to hinder;to obstruct
分别,fen1bie2,to part or leave each other;to distinguish;difference;in different ways;differently;separately or individually
风俗,feng1su2,social custom;CL:個|个[ge4]
辅导,fu3dao3,to coach;to tutor;to give advice (in study)
概括,gai4kuo4,to summarize;to generalize;briefly;CL:個|个[ge4]
干活儿,gan4huo2r,to work;manual labor
革命,ge2ming4,revolution;revolutionary (politics);CL:次[ci4]
公布,gong1bu4,to announce;to make public;to publish
公寓,gong1yu4,apartment building;block of flats;CL:套|套[tao4]
古典,gu3dian3,classical
挂号,gua4hao4,to register (a letter etc)
观念,guan1nian4,notion;thought;concept;sense;views;ideology;general impressions
广场,guang3chang3,a public square (e.g. Tiananmen Square);plaza;CL:個|个[ge4]
锅,guo1,pot;pan;boiler;CL:口[kou3],隻|只[zhi1]
海关,hai3guan1,customs (i.e. border crossing inspection);CL:個|个[ge4]
合理,he2li3,rational;reasonable;fair
忽视,hu1shi4,to neglect;to ignore
滑冰,hua2bing1,to skate;skating
皇帝,huang2di4,emperor;CL:個|个[ge4]
汇率,hui4lv4,exchange rate
