把握,ba3wo4,to grasp (also fig.);to seize;to hold;assurance;certainty;sure (of the outcome)
薄,bao2,thin;cold in manner;indifferent;weak;light;infertile
倍,bei4,(two, three etc) -fold;times (multiplier);double;to increase or multiply
毕竟,bi4jing4,after all;all in all;when all is said and done;in the final analysis
标点,biao1dian3,punctuation;a punctuation mark;to punctuate;CL:個|个[ge4]
博物馆,bo2wu4guan3,museum
不好意思,bu4hao3yi4si,to feel embarrassed;to be ill at ease;to find it embarrassing (to do sth)
不足,bu4zu2,insufficient;lacking;deficiency;not enough;inadequate;not worth;cannot;should not
残疾,can2ji2,disabled;handicapped;deformity on a person or animal
差别,cha1bie2,difference;distinction;diversity;disparity
朝代,chao2dai4,dynasty;reign (of a king)
称呼,cheng1hu,to call;to address as;appellation
成立,cheng2li4,to establish;to set up;to be tenable;to hold water
尺子,chi3zi,rule;ruler (measuring instrument);CL:把[ba3]
抽象,chou1xiang4,abstract
除非,chu2fei1,only if (..., or otherwise, ...);only when;only in the case that;unless
闯,chuang3,to rush;to charge;to dash;to break through;to temper oneself (through battling hardships)
从,cong2,from;via;passing through;through
存,cun2,exist;deposit;store;keep;survive
打听,da3ting,to ask about;to inquire about
单调,dan1diao4,monotonous
挡,dang3,to resist;to obstruct;to hinder;to keep off;to block (a blow);to get in the way of;cover;gear
登机牌,deng1ji1pai2,boarding pass
地理,di4li3,geography
钓,diao4,to fish with a hook and bait
独特,du2te4,unique;distinct;having special characteristics
对于,dui4yu2,regarding;as far as sth is concerned;with regards to
发达,fa1da2,developed (country etc);flourishing;to develop
凡是,fan2shi4,every;all
房东,fang2dong1,landlord
分布,fen1bu4,distributed;to distribute
风险,feng1xian3,risk;venture;hazard
付款,fu4kuan3,pay;payment
概念,gai4nian4,concept;idea;CL:個|个[ge4]
钢铁,gang1tie3,steel
格外,ge2wai4,especially;particularly
工厂,gong1chang3,factory;CL:家[jia1],座[zuo4]
公元,gong1yuan2,(year) AD;Christian era
古老,gu3lao3,ancient;old;age-old
乖,guai1,(of a child) obedient, well-behaved;clever;shrewd;alert;perverse;contrary to reason;irregular;abnormal
管子,guan3zi3,tube;pipe;drinking straw;CL:根[gen1]
广大,guang3da4,(of an area) vast or extensive;large-scale;widespread;(of people) numerous
国籍,guo2ji2,nationality
海鲜,hai3xian1,seafood
和平,he2ping2,peace
呼吸,hu1xi1,to breathe
划船,hua2chuan2,to row a boat;rowing boat;rowing (sport)
黄瓜,huang2gua1,cucumber;CL:條|条[tiao2]
婚礼,hun1li3,wedding ceremony;wedding
及格,ji2ge2,to pass a test
纪念,ji4nian4,to commemorate;to remember;CL:個|个[ge4]
假如,jia3ru2,if
艰苦,jian1ku3,difficult;hard;arduous
建设,jian4she4,to build;to construct;construction;constructive
交换,jiao1huan4,to exchange;to swap;to switch (telecom);commutative (math);to commute
接触,jie1chu4,to touch;to contact;access;in touch with
结论,jie2lun4,conclusion;verdict;CL:個|个[ge4];to conclude;to reach a verdict
金属,jin1shu3,metal;CL:種|种[zhong3]
经典,jing1dian3,the classics;scriptures;classical
居然,ju1ran2,unexpectedly;to one's surprise;go so far as to
捐,juan1,to contribute;to donate;contribution;tax;to abandon
开发,kai1fa1,exploit (a resource);open up (for development);to develop
可见,ke3jian4,it can clearly be seen (that this is the case);it is (thus) clear;clear;visible
空间,kong1jian1,space;CL:個|个[ge4]
蜡烛,la4zhu2,candle;CL:根[gen1],支[zhi1]
姥姥,lao3lao,(informal) mother's mother;maternal grandmother
厘米,li2mi3,centimeter
利润,li4run4,profits
粮食,liang2shi,foodstuff;cereals;CL:種|种[zhong3]
领域,ling3yu4,domain;sphere;field;territory;area
录音,lu4yin1,to record (sound);sound-recording;CL:個|个[ge4]
毛,mao2,hair;feather;down
迷路,mi2lu4,to lose the way;lost;labyrinth;labyrinthus vestibularis (of the inner ear)
面临,mian4lin2,to face sth;to be confronted with
