摆,bai3,to arrange;to exhibit;to move to and fro;a pendulum
宝贝,bao3bei4,treasured object;treasure;darling;baby;cowry;good-for-nothing or queer character
背景,bei4jing3,background;backdrop;context;CL:種|种[zhong3]
避免,bi4mian3,to avert;to prevent;to avoid;to refrain from
标志,biao1zhi4,sign;mark;symbol;symbolize;to indicate;to mark
脖子,bo2zi,neck;CL:個|个[ge4]
不见得,bu4jian4de,not necessarily;not likely
财产,cai2chan3,property;CL:筆|笔[bi3]
惭愧,can2kui4,ashamed
叉子,cha1zi,fork;CL:把[ba3]
炒,chao3,saute;pan-fry;to fry;fried
称赞,cheng1zan4,to praise;to acclaim;to commend;to compliment
承认,cheng2ren4,to admit;to concede;to recognize;recognition (diplomatic, artistic etc);to acknowledge
翅膀,chi4bang3,wing;CL:個|个[ge4],對|对[dui4]
丑,chou3,clown;surname Chou;2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox
除夕,chu2xi1,(New Year's) Eve
创造,chuang4zao4,to create;to bring about;to produce;CL:個|个[ge4]
从此,cong2ci3,from now on;since then;henceforth
存在,cun2zai4,to exist;to be
打招呼,da3zhao1hu,to greet sb by word or action;to give prior notice
单独,dan1du2,alone;by oneself;on one's own
岛,dao3,island;CL:個|个[ge4],座[zuo4]
登记,deng1ji4,to register (one's name)
地区,di4qu1,local;regional;district (not necessarily formal administrative unit);region;area;as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city);CL:個|个[ge4]
丁,ding1,cubes of meat and vegetables;man;members of a family;population;fourth of 10 heavenly stems 十天干;
度过,du4guo4,spend;pass
吨,dun1,ton;Taiwan pr. dun4
发抖,fa1dou3,shiver;shudder;tremble;tremulous
反而,fan3er2,instead;on the contrary;contrary (to expectations)
仿佛,fang3fu2,to seem;as if;alike;similar
纷纷,fen1fen1,one after another;in succession;one by one;continuously;diverse;in profusion;numerous and confused;pell-mell
讽刺,feng3ci4,to satirize;to mock;irony;satire;sarcasm
妇女,fu4nv3,woman
干脆,gan1cui4,straightforward;clear-cut;blunt (e.g. statement);you might as well;simply
高档,gao1dang4,superior quality;high grade;top grade
个别,ge4bie2,individual;specific;respective;just one or two
工程师,gong1cheng2shi1,engineer;CL:個|个[ge4],位[wei4],名[ming2]
公主,gong1zhu3,princess
股票,gu3piao4,share;stock (market)
拐弯,guai3wan1,to go round a curve;to turn a corner;fig. a new direction
冠军,guan4jun1,champion;CL:個|个[ge4]
广泛,guang3fan4,extensive;wide range
国庆节,Guo2qing4jie2,PRC National Day (October 1st)
喊,han3,call;cry;to shout
合同,he2tong,(business) contract;CL:個|个[ge4]
壶,hu2,pot;classifier for bottled liquid
华裔,hua2yi4,ethnic Chinese;non-Chinese citizen of Chinese ancestry
皇后,huang2hou4,empress;imperial consort
婚姻,hun1yin1,matrimony;wedding;marriage;CL:次[ci4]
急忙,ji2mang2,hastily
计算,ji4suan4,to count;to calculate;to compute;CL:個|个[ge4]
假装,jia3zhuang1,to feign;to pretend
坚强,jian1qiang2,staunch;strong
健身房,jian4shen1fang2,gym;gymnasium
交际,jiao1ji4,communication;social intercourse
接待,jie1dai4,to receive (a visitor);to admit (allow sb to enter)
节省,jie2sheng3,saving;to save;to use sparingly;to cut down on
紧,jin3,tight;strict;close at hand;near;urgent;tense;hard up;short of money;to tighten
精力,jing1li4,energy
桔子,ju2zi,tangerine;CL:個|个[ge4],瓣[ban4]
卷,juan3,to roll up
开放,kai1fang4,to lift (a ban or restriction);to open to the outside world (politics);to open for public use;to come into bloom (of flowers)
可靠,ke3kao4,reliable
恐怖,kong3bu4,terrible;frightful;frightening;terror;terrorist
来自,lai2zi4,to come from (a place);From: (in email header)
老实,lao3shi,honest;sincere;open and guileless;naive
礼拜天,li3bai4tian1,Sunday
利息,li4xi1,interest (on a loan);CL:筆|笔[bi3]
了不起,liao3buqi3,amazing;terrific;extraordinary
流传,liu2chuan2,to spread;to circulate;to hand down
轮流,lun2liu2,to alternate;to take turns
毛病,mao2bing4,fault;defect;shortcomings;CL:個|个[ge4]
谜语,mi2yu3,riddle;conundrum
苗条,miao2tiao2,slim, slender, graceful
明信片,ming2xin4pian4,postcard
某,mou3,some;a certain;sb or sth indefinite;such-and-such
内科,nei4ke1,medicine;internal medicine, i.e. treatment by administering drugs, as opposed to surgical intervention 外科[wai4 ke1];medical department
浓,nong2,concentrated;dense
盼望,pan4wang4,to hope for;look forward to
批准,pi1zhun3,to approve;to ratify
凭,ping2,to lean against;to rely on;on the basis of;no matter (how, what etc);proof
破产,po4chan3,to go bankrupt;to become impoverished;bankruptcy
起来,qi3lai2,beginning or continuing an action;upward movement;stand up
浅,qian3,shallow, not deep;superficial
切,qie1,to cut;to slice;tangent (math)
清淡,qing1dan4,light (of food, not greasy or strongly flavored);insipid;slack (sales)
娶,qu3,take a wife;to marry (a woman)
确定,que4ding4,definite;certain;fixed;to fix (on sth);to determine;to be sure;to ensure;to make certain;to ascertain;to clinch;to recognize;to confirm;OK (on computer dialog box)
人口,ren2kou3,population
日历,ri4li4,calendar;CL:張|张[zhang1],本[ben3]
弱,ruo4,weak;feeble;young;inferior;(following a decimal or fraction) slightly less than
闪电,shan3dian4,lightning;CL:道[dao4]
舌头,she2tou,tongue;CL:個|个[ge4];enemy soldier captured for the purpose of extracting information
身份,shen1fen4,identity;status;capacity;dignity;position;rank
绳子,sheng2zi,cord;string;rope;CL:條|条[tiao2]
实践,shi2jian4,to practice;to put into practice;to fulfill
实行,shi2xing2,to implement;to carry out;to put into practice
事情,shi4qing,affair;matter;thing;business;CL:件[jian4],樁|桩[zhuang1]
手续,shou3xu4,formalities;procedures;CL:道[dao4],個|个[ge4]
梳子,shu1zi,comb;CL:把[ba3]
税,shui4,taxes;duties
似乎,si4hu1,apparently;to seem;to appear;as if;seemingly
所,suo3,actually;place;classifier for houses, small buildings, institutions etc;that which;particle introducing a relative clause or passive;CL:個|个[ge4]
趟,tang4,quantifier for the number of trips or runs made
疼爱,teng2ai4,to love dearly
体现,ti3xian4,to embody;to reflect;to incarnate
通讯,tong1xun4,communications;a news story (e.g. dispatched over the wire);CL:個|个[ge4]
突出,tu1chu1,prominent;outstanding;to give prominence to;to protrude;to project
退,tui4,retreat;to decline;to move back;to withdraw
完整,wan2zheng3,complete;intact
围巾,wei2jin1,scarf;shawl;CL:條|条[tiao2]
未必,wei4bi4,not necessarily;maybe not
文明,wen2ming2,civilized;civilization;culture;CL:個|个[ge4]
武器,wu3qi4,weapon;arms;CL:種|种[zhong3]
系统,xi4tong3,system;CL:個|个[ge4]
现金,xian4jin1,cash
想念,xiang3nian4,miss;remember with longing;long to see again
消费,xiao1fei4,to consume;CL:個|个[ge4]
效率,xiao4lv4,efficiency
信息,xin4xi1,information;news;message
形状,xing2zhuang4,form;shape;CL:個|个[ge4]
虚心,xu1xin1,modest
寻找,xun2zhao3,to seek;to look for
腰,yao1,waist;lower back;pocket;middle;loins
一辈子,yi1bei4zi,(for) a lifetime
乙,yi3,second of 10 heavenly stems 十天干;second in order;letter B or roman II in list A, B, C, or I, II, III etc;second party (in legal contract, usually 乙方|乙方[yi3 fang1], as opposed to 甲方|甲方[jia3 fang1]);ethyl;bent;winding;radical in Chinese characters (Kangxi radical 5)
银,yin2,silver;silver-colored;relating to money or currency
硬件,ying4jian4,hardware
优美,you1mei3,graceful;fine;elegant
与,yu3,to give;to help;to get along with;and;with
缘故,yuan2gu4,reason;cause
再三,zai4san1,over and over again;again and again
粘贴,zhan1tie1,to stick;to affix;to adhere;to paste (as in cut, copy and paste)
着凉,zhao2liang2,catch cold
枕头,zhen3tou,pillow
正,zheng4,upright;centrally located;(of time or figure) exactly;correct;(of taste) pure
支票,zhi1piao4,check (bank);cheque;CL:本[ben3]
至今,zhi4jin1,until now
中旬,zhong1xun2,middle third of a month
主观,zhu3guan1,subjective
转变,zhuan3bian4,change;transform;CL:個|个[ge4]
资料,zi1liao4,material;resources;data;information;profile (Internet);CL:份[fen4],個|个[ge4]
字幕,zi4mu4,caption;subtitle
总理,zong3li3,premier;prime minister;CL:個|个[ge4],位[wei4],名[ming2]
最初,zui4chu1,first;primary;initial
