癌症,ai2zheng4,cancer
疤,ba1,scar
颁发,ban1fa1,issue;promulgate;award
保密,bao3mi4,to keep sth confidential;to maintain secrecy
报社,bao4she4,general office of a newspaper;newspaper office;CL:家[jia1]
本能,ben3neng2,instinct
弊病,bi4bing4,malady;evil;malpractice;drawback;disadvantage
辩解,bian4jie3,to explain;to justify;to defend (a point of view etc);to provide an explanation;to try to defend oneself
别人,bie2ren,other people;others;other person
博览会,bo2lan3hui4,exposition;international fair
不可思议,bu4ke3si1yi4,inconceivable (idiom);unimaginable;unfathomable
才干,cai2gan4,ability;competence
仓促,cang1cu4,all of a sudden;hurriedly
岔,cha4,fork in road;bifurcation;branch in road, river, mountain range etc;to branch off;to turn off;to diverge;to stray (from the path);to change the subject;to interrupt;to stagger (times)
场合,chang3he2,situation;occasion
陈旧,chen2jiu4,old-fashioned
承诺,cheng2nuo4,to promise;to undertake to do something;commitment
赤字,chi4zi4,(financial) deficit;red letter
丑恶,chou3e4,ugly;repulsive
船舶,chuan2bo2,shipping;boats
词汇,ci2hui4,vocabulary;list of words (e.g. for language teaching purposes)
搭,da1,to put up;to build (scaffolding);to hang (clothes on a pole);to connect;to join;to arrange in pairs;to match;to add;to throw in (resources);to take (boat, train)
大肆,da4si4,wantonly;without restraint (of enemy or malefactor);unbridled
当场,dang1chang3,at the scene;on the spot
稻谷,dao4gu3,rice crops
地步,di4bu4,condition;situation;plight;extent;room for action
吊,diao4,to suspend;to hang up;to hang a person
动力,dong4li4,power;motion;propulsion;force
端,duan1,end;extremity;item;port;to hold sth level with both hands;to carry;regular
对应,dui4ying4,to correspond;a correspondence;corresponding;homologous;matching with sth;counterpart
发动,fa1dong4,to start;to launch;to unleash;to mobilize;to arouse
反常,fan3chang2,unusual;abnormal
防守,fang2shou3,defend;protect (against)
沸腾,fei4teng2,boiling;ebullition
分量,fen4liang4,weight;measure
否决,fou3jue2,veto;to overrule;to veto;to reject
辅助,fu3zhu4,to assist;to aid;supplementary;auxiliary;subsidiary
干扰,gan1rao3,to interfere;obstruction
高考,gao1kao3,college entrance exam;abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[pu3 tong1 gao1 deng3 xue2 xiao4 zhao1 sheng1 quan2 guo2 tong3 yi1 kao3 shi4]
各自,ge4zi4,each;respective;apiece
供给,gong1ji3,to furnish;to provide;supply (as in supply and demand)
共计,gong4ji4,to sum up to;to total
顾问,gu4wen4,adviser;consultant
广阔,guang3kuo4,wide;vast
过奖,guo4jiang3,to over-praise;to flatter
航行,hang2xing2,to sail;to fly;to navigate
合算,he2suan4,worthwhile;be a good deal;be a bargain;reckon up;calculate
后顾之忧,hou4gu4zhi1you1,fears of trouble in the rear (idiom);family worries (obstructing freedom of action);worries about the future consequences;often in negative expressions, meaning no worries about anything
化验,hua4yan4,laboratory test;chemical experiment;assay
回避,hui2bi4,to evade;to shun;to avoid
火焰,huo3yan4,blaze;flame
基因,ji1yin1,gene (loanword)
及早,ji2zao3,at the earliest possible time;as soon as possible
家常,jia1chang2,the daily life of a family
监视,jian1shi4,to monitor;to oversee;to keep a close watch over;to spy on
间隔,jian4ge2,compartment;gap;interval;to divide
交代,jiao1dai4,to hand over;to explain;to make clear;to brief (sb);to account for;to justify oneself;to confess;to finish (colloquial)
杰出,jie2chu1,outstanding;distinguished;remarkable;prominent;illustrious
津津有味,jin1jin1you3wei4,with keen interest pleasure (idiom);with gusto;to relish;eagerly;with great interest
精打细算,jing1da3xi4suan4,(saying) meticulous planning and careful accounting
警告,jing3gao4,to warn;to admonish
拘束,ju1shu4,to restrict;to restrain;constrained;awkward;ill at ease;uncomfortable;reticent
绝望,jue2wang4,desperation;forlorn;hopeless
刊物,kan1wu4,publication
可笑,ke3xiao4,funny;ridiculous
口气,kou3qi4,tone of voice;the way one speaks;manner of expression;tone
亏待,kui1dai4,to treat sb unfairly
牢固,lao2gu4,firm;secure
立场,li4chang3,position;standpoint;CL:個|个[ge4]
连锁,lian2suo3,chain
领会,ling3hui4,to understand;to comprehend;to grasp
笼罩,long3zhao4,to envelop;to shroud
麻痹,ma2bi4,paralysis;palsy;numbness;to benumb
盲目,mang2mu4,blind;aimless
弥补,mi2bu3,to complement;to make up for a deficiency
灭亡,mie4wang2,to be destroyed;to become extinct;to perish;to die out;to destroy;to exterminate
磨合,mo2he2,to break in;to wear in
难得,nan2de2,seldom;rare;hard to come by
宁肯,ning4ken3,would rather...;it would be better...;would prefer
徘徊,pai2huai2,to dither;to hesitate;to pace back and forth;by ext. to hover around;to linger
捧,peng3,to clasp;to cup the hands;to hold up with both hands;to offer (esp. in cupped hands);to praise;to flatter
飘扬,piao1yang2,wave;flutter;fly
平原,ping2yuan2,field;plain;CL:個|个[ge4]
期望,qi1wang4,hope;expectation
起义,qi3yi4,uprising;insurrection;revolt
恰巧,qia4qiao3,fortunately;unexpectedly;by coincidence
强制,qiang2zhi4,to enforce;enforcement;forcibly;compulsory
轻而易举,qing1er2yi4ju3,easy;with no difficulty
