爱戴,ai4dai4,to love and respect;love and respect
巴结,ba1jie,to fawn on;to curry favor with;to make up to
版本,ban3ben3,version;edition;release
保守,bao3shou3,(politically) conservative;to guard;to keep
抱怨,bao4yuan4,to complain;to grumble
本人,ben3ren2,the person himself;I (humble form used in speeches);oneself;myself;in person;personal
弊端,bi4duan1,malpractice;abuse;corrupt practice
变迁,bian4qian1,changes;vicissitudes
别致,bie2zhi4,unusual;unique
薄弱,bo2ruo4,weak;frail
不料,bu4liao4,unexpectedly;to one's surprise
财务,cai2wu4,financial affairs
操劳,cao1lao2,to work hard;to look after
诧异,cha4yi4,flabbergasted;astonished
场面,chang3mian4,scene;occasion
沉闷,chen2men4,oppressive (of weather);heavy;depressed;not happy
成天,cheng2tian1,(coll.) all day long;all the time
冲动,chong1dong4,impetus;impulse;emotional impulse;impulsive
出路,chu1lu4,a way out (of a difficulty etc)
传单,chuan2dan1,leaflet;flier;pamphlet
雌雄,ci2xiong2,male and female
搭配,da1pei4,to pair up;to match;to arrange in pairs;to add sth into a group
大意,da4yi4,general idea;main idea
当面,dang1mian4,to sb's face;in sb's presence
得不偿失,de2bu4chang2shi1,(saying) the gains do not make up for the losses
地势,di4shi4,terrain;topography relief
跌,die1,to drop;to fall;to tumble;Taiwan pr. die2
动身,dong4shen1,go on a journey;leave
端正,duan1zheng4,upright;regular;proper;correct
顿时,dun4shi2,at once;immediately;forthwith
发觉,fa1jue2,to find;to detect;to discover
反动,fan3dong4,reaction;reactionary
防御,fang2yu4,defense
分辨,fen1bian4,to distinguish;to differentiate;to resolve;to defend against an accusation;to exculpate
封闭,feng1bi4,to seal;to close;to confine;to seal off;to close down;sealed;confined;closed;unreceptive
夫人,fu1ren,lady;madam;Mrs.;CL:位[wei4]
负担,fu4dan1,burden;to bear a burden
甘心,gan1xin1,to be willing to;to resign oneself to
高尚,gao1shang4,nobly;lofty
根深蒂固,gen1shen1di4gu4,deep-rooted (problem etc)
功课,gong1ke4,homework;assignment;task;classwork;lesson;study;CL:門|门[men2]
勾结,gou1jie2,to collude with;to collaborate with;to gang up with
固有,gu4you3,intrinsic to sth;inherent;native
规格,gui1ge2,standard;norm;specification
过失,guo4shi1,defect;fault
毫米,hao2mi3,millimeter
嘿,hei1,hey
后勤,hou4qin2,logistics
怀孕,huai2yun4,pregnant;to have conceived;gestation;pregnancy
回收,hui2shou1,to recycle;to reclaim;to retrieve;to recover
货币,huo4bi4,currency;monetary;money
机智,ji1zhi4,quick-witted;tact;witty;resourceful
给予,ji3yu3,to accord;to give;to show (respect)
家伙,jia1huo,household dish, implement or furniture;domestic animal;guy (slang);chap
监狱,jian1yu4,prison
见解,jian4jie3,opinion;view;understanding
焦急,jiao1ji2,anxiety;anxious
竭尽全力,jie2jin4quan2li4,to spare no effort (idiom);to do one's utmost
尽快,jin3kuai4,as quickly as possible;as soon as possible;with all speed;also written 盡快|尽快
经费,jing1fei4,funds;expenditure;CL:筆|笔[bi3]
颈椎,jing3zhui1,cervical vertebra;the seven cervical vertebrae in the neck of humans and most mammals
局部,ju2bu4,part;local
觉醒,jue2xing3,to awaken;to come to realize;awakened to the truth;the truth dawns upon one;scales fall from the eyes;to become aware
看来,kan4lai2,apparently;it seems that;it appears;it seems
刻不容缓,ke4bu4rong2huan3,to brook no delay;to demand immediate action
口头,kou3tou2,oral;verbal
昆虫,kun1chong2,insect;CL:隻|只[zhi1],群[qun2],堆[dui1]
乐趣,le4qu4,delight;pleasure;joy
利害,li4hai4,pros and cons;advantages and disadvantages;gains and losses
联想,lian2xiang3,to associate with something in thinking;abbr. for 聯想集團|联想集团[Lian2 xiang3 Ji2 tuan2]
领土,ling3tu3,territory
炉灶,lu2zao4,stove
麻醉,ma2zui4,anesthesia;fig. to poison (sb's mind)
冒充,mao4chong1,to feign;to pretend to be;to pass oneself off as
弥漫,mi2man4,to pervade;to fill the air;diffuse;everywhere present;about to inundate (water);permeated by (smoke);filled with (dust);to saturate (the air with fog, smoke etc)
民用,min2yong4,(for) civilian use
魔术,mo2shu4,magic
难免,nan2mian3,hard to avoid;difficult to escape from
纽扣儿,niu3kou4r,button
派遣,pai4qian3,to send (on a mission);to dispatch
批发,pi1fa1,wholesale;bulk trade;distribution
拼命,pin1ming4,to do one's utmost;with all one's might;at all costs;(to work or fight) as if one's life depends on it
坡,po1,slope;CL:個|个[ge4]
奇妙,qi2miao4,fantastic;wonderful
