安居乐业,an1ju1le4ye4,live in peace and work happily (idiom)
把关,ba3guan1,to guard a pass;to check on sth
伴随,ban4sui2,to accompany;to follow;to occur together with;attendant
保养,bao3yang3,to take good care of (or conserve) one's health;to keep in good repair;to maintain;maintenance
悲哀,bei1ai1,grieved;sorrowful
本事,ben3shi,ability;skill;source material;original story
碧玉,bi4yu4,jasper
便条,bian4tiao2,(informal) note;CL:張|张[zhang1],個|个[ge4]
濒临,bin1lin2,on the verge of;close to
补救,bu3jiu4,remedy
部署,bu4shu3,to dispose;to deploy;deployment
财政,cai2zheng4,finances (public);financial
操纵,cao1zong4,to operate;to control;to rig;to manipulate
搀,chan1,to assist by the arm;to mix;to support;to sustain
倡导,chang4dao3,to advocate;to initiate;to propose;to be a proponent of (an idea or school of thought)
沉思,chen2si1,contemplate;contemplation;meditation;ponder
呈现,cheng2xian4,to appear;to emerge;present (a certain appearance);demonstrate
充沛,chong1pei4,abundant;plentiful;vigorous
出身,chu1shen1,family background;class origin
喘气,chuan3qi4,to breathe deeply;to pant
伺候,ci4hou4,to serve;to act as a valet
达成,da2cheng2,to reach (an agreement);to accomplish
歹徒,dai3tu2,evil-doer;malefactor;gangster;hoodlum
当事人,dang1shi4ren2,persons involved or implicated;party (to an affair)
得天独厚,de2tian1du2hou4,(of an area) rich in resources;(of a person) gifted or able (idiom)
地质,di4zhi4,geology
叮嘱,ding1zhu3,to warn repeatedly;to urge;to exhort again and again
动态,dong4tai4,development;trend;dynamic state;movement;moving
断定,duan4ding4,to conclude;to determine;to come to a judgment
多元化,duo1yuan2hua4,diversification;pluralism;to diversify
发誓,fa1shi4,to vow;to pledge;to swear
反抗,fan3kang4,to resist;to rebel
防治,fang2zhi4,prevention and cure
吩咐,fen1fu4,to tell;to instruct;to command
风光,feng1guang1,scene;view;sight;landscape;to be well-regarded;to be well-off;grand (topolect);impressive (topolect)
幅度,fu2du4,width;extent;range;scope
附和,fu4he4,to parrot;to crib;to copy sb's action or words;to trail sb's footsteps;copy-cat
感慨,gan3kai3,lament;with a tinge of emotion or regret
稿件,gao3jian4,rough draft;material contributing to a final document
根源,gen1yuan2,origin;root (cause)
功劳,gong1lao2,contribution;meritorious service;credit
构思,gou4si1,to outline a story;to make a preliminary sketch
固执,gu4zhi,persistent;stubborn
规划,gui1hua4,plan;program
过瘾,guo4yin3,to satisfy a craving;to get a kick out of sth;gratifying;immensely enjoyable;satisfying;fulfilling
耗费,hao4fei4,to waste;to spend;to consume;to squander
狠心,hen3xin1,callous;heartless
忽略,hu1lve4,to neglect;to overlook;to ignore
环节,huan2jie2,round segment;segment (of annelid worms);connection;link;sector;annular ring
毁灭,hui3mie4,perish;ruin;destroy
基地,ji1di4,base (of operations);industrial or military base;al-Qaeda
级别,ji2bie2,(military) rank;level;grade
季度,ji4du4,quarter (finance, publishing, schools etc);season (sports);period of three months
家属,jia1shu3,family member;(family) dependent
拣,jian3,to choose;to pick;to sort out;to pick up
践踏,jian4ta4,to trample
交涉,jiao1she4,to negotiate;relating to
结局,jie2ju2,conclusion;ending
紧密,jin3mi4,inseparably close
精简,jing1jian3,to simplify;to reduce
敬礼,jing4li3,salute
局势,ju2shi4,situation;state (of affairs)
卡通,ka3tong1,cartoon
慷慨,kang1kai3,vehement;fervent;generous;giving;liberal
课题,ke4ti2,task;problem;issue
枯竭,ku1jie2,used up;dried up;exhausted (of resources)
扩充,kuo4chong1,to expand
雷达,lei2da2,radar (loanword)
历来,li4lai2,always;throughout (a period of time);(of) all-time
晾,liang4,to dry in the air
领先,ling3xian1,to lead;to be in front
轮廓,lun2kuo4,an outline;silhouette
嘛,ma,(a modal particle)
枚,mei2,classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc
迷失,mi2shi1,lost;not knowing one's location
敏捷,min3jie2,nimble;quick;shrewd
抹杀,mo3sha1,to erase;to cover traces;to obliterate evidence;to expunge;to blot out;to suppress
恼火,nao3huo3,to get angry;irritated;to annoy;to aggravate;annoying
浓厚,nong2hou4,dense;thick (fog, clouds etc);to have a strong interest in;deep;fully saturated (color)
盘旋,pan2xuan2,to spiral;to circle;to go around;to hover;to orbit
疲惫,pi2bei4,beaten;exhausted;tired
频繁,pin2fan2,frequently;often
颇,po1,very;considerably
齐全,qi2quan2,complete
气概,qi4gai4,lofty quality;mettle;spirit
千方百计,qian1fang1bai3ji4,lit. thousand ways, a hundred plans (idiom);by every possible means
翘,qiao4,to raise
清晰,qing1xi1,clear;distinct
区域,qu1yu4,area;region;district
缺陷,que1xian4,a defect;a flaw
人工,ren2gong1,artificial;manpower;manual work
日益,ri4yi4,day by day;more and more;increasingly;more and more with each passing day
嫂子,sao3zi,(informal) older brother's wife;sister-in-law;CL:個|个[ge4]
梢,shao1,tip of branch
神奇,shen2qi2,magical;mystical;miraculous
声明,sheng1ming2,statement;declaration;CL:項|项[xiang4],份[fen4]
尸体,shi1ti3,dead body;corpse;carcass;CL:具[ju4]
石油,shi2you2,oil;petroleum
事态,shi4tai4,situation;existing state of affairs
手势,shou3shi4,gesture;sign;signal
数目,shu4mu4,amount;number
思绪,si1xu4,train of thought;emotional state;mood;feeling
随即,sui2ji2,immediately;presently;following which
贪污,tan1wu1,corruption
特色,te4se4,characteristic;distinguishing feature or quality
挑剔,tiao1ti,picky;fussy
通货膨胀,tong1huo4peng2zhang4,inflation
徒弟,tu2di4,apprentice;disciple
妥善,tuo3shan4,appropriate;proper
玩弄,wan2nong4,to play with;to engage in;to resort to;to dally with
威信,wei1xin4,(of a government, etc.) prestige and public reliance
温带,wen1dai4,temperate zone
无非,wu2fei1,only;nothing else
误差,wu4cha1,difference;error;inaccuracy
细胞,xi4bao1,cell (biology)
闲话,xian2hua4,digression;gossip;complaint;scandal;CL:段[duan4]
相应,xiang1ying4,to correspond;answering (one another);to agree (among the part);corresponding;relevant;appropriate;(modify) accordingly
小心翼翼,xiao3xin1yi4yi4,cautious and solemn (idiom);very carefully;prudent;gently and cautiously
心灵,xin1ling2,bright;smart;quick-witted;heart;thoughts;spirit
兴隆,Xing1long2,Xinglong county in Chengde 承德[Cheng2 de2], Hebei
修复,xiu1fu4,restoration
悬挂,xuan2gua4,to suspend;to hang;suspension (cable car)
循序渐进,xun2xu4jian4jin4,in sequence, step by step (idiom);to make steady progress incrementally
严密,yan2mi4,strict;tight (organization, surveillance etc)
演奏,yan3zou4,to play a musical instrument;to perform music
耀眼,yao4yan3,to dazzle;dazzling
一丝不苟,yi1si1bu4gou3,not one thread loose (idiom);strictly according to the rules;meticulous;not one hair out of place
翼,yi4,wing
引擎,yin3qing2,engine (transliteration)
永恒,yong3heng2,eternal;everlasting;fig. to pass into eternity (i.e. to die)
愚蠢,yu2chun3,silly;stupid
预兆,yu4zhao4,omen;prognosis (in medicine)
运算,yun4suan4,(mathematical) operation
赞扬,zan4yang2,to praise;to approve of;to show approval
诈骗,zha4pian4,to defraud;to swindle;to blackmail
章程,zhang1cheng2,rules;regulations;constitution;statute;articles of association (of company);articles of incorporation;charter (of a corporation);by-laws
珍贵,zhen1gui4,precious
蒸发,zheng1fa1,to evaporate;evaporation
正义,zheng4yi4,justice;righteous;righteousness
职位,zhi2wei4,post;office;position
致力于,zhi4li4yu2,to devote to;to dedicate to
中央,zhong1yang1,central;middle;center;central authorities (of a state)
昼夜,zhou4ye4,day and night;period of 24 hours;continuously, without stop
驻扎,zhu4zha1,to station;to garrison (troops)
装卸,zhuang1xie4,to load or unload;to transfer;to assemble and disassemble
资深,zi1shen1,senior (in terms of depth of accumulated experience);deeply qualified
纵横,zong4heng2,lit. warp and weft in weaving;vertically and horizontal;length and breadth;criss-crossed;able to move unhindered;abbr. for 合縱連橫|合纵连横[He2 zong4 Lian2 heng2], School of Diplomacy during the Warring States Period (475 - 221 BC)
左右,zuo3you4,about;approximately;left and right;around;attendant
