安置,an1zhi4,find a place for;help settle down;arrange for;to get into bed;placement
霸道,ba4dao4,the Way of the Hegemon, abbr. of 霸王之道;despotic rule;rule by might;evil as opposed to the Way of the King 王道;overbearing;tyranny;(of liquor, medicine etc) strong;potent
绑架,bang3jia4,to kidnap;to abduct;to hijack;a kidnapping;abduction;staking
报仇,bao4chou2,to revenge (oneself);to avenge
北极,bei3ji2,the North Pole;the Arctic Pole;the north magnetic pole
崩溃,beng1kui4,to collapse;to crumble;to fall apart
边界,bian1jie4,boundary;border
变质,bian4zhi4,to degenerate;to go bad;to deteriorate;metamorphosis
并非,bing4fei1,really isn't
捕捉,bu3zhuo1,to catch;to seize;to capture
不相上下,bu4xiang1shang4xia4,equally matched;about the same
采纳,cai3na4,to accept;to adopt
草案,cao3an4,draft (legislation, proposal etc)
阐述,chan3shu4,to expound (a position);to elaborate (on a topic);to treat (a subject)
倡议,chang4yi4,to suggest;to initiate;proposal;initiative
称心如意,chen4xin1ru2yi4,after one's heart (idiom);gratifying and satisfactory;everything one could wish
成员,cheng2yuan2,member
充足,chong1zu2,adequate;sufficient;abundant
出洋相,chu1yang2xiang4,to make a fool of oneself
创立,chuang4li4,to found;establish;originate
丛,cong2,cluster;collection;collection of books;thicket
打官司,da3guan1si,to file a lawsuit;to sue;to dispute
代理,dai4li3,to act on behalf of sb in a responsible position;to act as an agent or proxy;surrogate
当选,dang1xuan3,be elected
灯笼,deng1long2,lantern
典礼,dian3li3,celebration;ceremony
丢人,diu1ren2,to lose face
兜,dou1,pocket;bag;to wrap up or hold in a bag;to move in a circle;to canvas or solicit;to take responsibility for;to disclose in detail;combat armor (old)
堆积,dui1ji1,to pile up;to heap;accumulation
恶心,e3xin,nausea;to feel sick;disgust;nauseating
发扬,fa1yang2,to develop;to make full use of
反射,fan3she4,to reflect;reflection (from a mirror etc);reflex (i.e. automatic reaction of organism)
放射,fang4she4,to radiate;radioactive
分裂,fen1lie4,to split up;to divide;to break up;fission
丰满,feng1man3,plentiful;rich;plump;well-rounded
俘虏,fu2lu3,captive
附属,fu4shu3,subsidiary;auxiliary;attached;affiliated;subordinate;subordinating
扛,gang1,to raise aloft with both hands
割,ge1,to cut;to cut apart
更新,geng1xin1,to replace the old with new;to renew;to renovate;to upgrade;to update;to regenerate
公然,gong1ran2,openly;publicly;undisguised
孤立,gu1li4,isolate;isolated
观光,guan1guang1,to tour;sightseeing;tourism
规章,gui1zhang1,rule;regulation
海拔,hai3ba2,height above sea level;elevation
呵,he1,to scold in a loud voice;to yawn
哄,hong1,roar of laughter (onomatopoeia);hubbub;to roar (as a crowd)
胡乱,hu2luan4,careless;reckless;casually;absent-mindedly;at will;at random;any old how
患者,huan4zhe3,patient;sufferer
会晤,hui4wu4,to meet;meeting;conference
激发,ji1fa1,to arouse;to excite
极端,ji2duan1,extreme
寂静,ji4jing4,quiet
夹杂,jia1za2,to mix together (disparate substances);to mingle;a mix;to be tangled up with
简陋,jian3lou4,simple and crude (of a room or building)
见义勇为,jian4yi4yong3wei2,to see what is right and act courageously (idiom, from Analects);to stand up bravely for the truth;acting heroically in a just cause
搅拌,jiao3ban4,to stir;to agitate
节奏,jie2zou4,rhythm;tempo;musical pulse;cadence;beat
进而,jin4er2,and then (what follows next)
惊奇,jing1qi2,to be amazed;to be surprised;to wonder
竞选,jing4xuan3,to take part in an election;to run for office
咀嚼,ju3jue2,to chew
开阔,kai1kuo4,wide;open (spaces);to open up
考核,kao3he2,to examine;to check up on;to assess;to review;appraisal;review;evaluation
坑,keng1,pit;to defraud
挎,kua4,to carry (esp. slung over the arm, shoulder or side)
啦,la1,a phrase-final particle
冷酷,leng3ku4,grim;unfeeling;callous
立体,li4ti3,three-dimensional;solid;stereoscopic
列举,lie4ju3,a list;to list;to enumerate
