案件,an4jian4,law case;legal case;judicial case;CL:宗[zong1],樁|桩[zhuang1],起[qi3]
罢工,ba4gong1,a strike;to go on strike
榜样,bang3yang4,example;model;CL:個|个[ge4]
报酬,bao4chou,reward;remuneration
被动,bei4dong4,passive
甭,beng2,need not;(contraction of 不 and 用)
边境,bian1jing4,frontier;border
辫子,bian4zi,plait;braid;pigtail;a mistake or shortcoming that may be exploited by an opponent;handle;CL:根[gen1],條|条[tiao2]
并列,bing4lie4,to stand side by side;to be juxtaposed
不得已,bu4de2yi3,act against one's will;have no alternative but to;have to;to have no choice;must
不像话,bu4xiang4hua4,unreasonable;shocking;outrageous
彩票,cai3piao4,the lottery;lottery ticket
草率,cao3shuai4,careless;negligent;sloppy;not serious
产业,chan3ye4,industry;estate;property;industrial
超级,chao1ji2,transcending;high grade;super-;ultra-
称号,cheng1hao4,name;term of address;title
诚挚,cheng2zhi4,sincere;cordial
崇拜,chong2bai4,to worship;adoration
储备,chu3bei4,reserves;to store up
创新,chuang4xin1,innovation;to bring forth new ideas;to blaze new trails
从容不迫,cong2rong2bu4po4,calm;unruffled
打击,da3ji1,to hit;to strike;to attack;to crack down on sth;a setback;a blow;percussion (music)
带领,dai4ling3,to guide;to lead
党,dang3,party;association;club;society;surname Dang;CL:個|个[ge4]
登陆,deng1lu4,to land;to come ashore;to make landfall (of typhoon etc);to log in
典型,dian3xing2,model;typical case;archetype;typical;representative
丢三落四,diu1san1la4si4,forgetful;scatterbrained
陡峭,dou3qiao4,precipitous
对策,dui4ce4,countermeasure for dealing with a situation
恶化,e4hua4,worsen
发育,fa1yu4,to develop;growth;development
反思,fan3si1,to think back over sth;to review;to revisit;to rethink;reflection;reassessment
放手,fang4shou3,let go;have a free hand;let go one's hold
分泌,fen1mi4,secrete
风气,feng1qi4,general mood;atmosphere;common practice
服气,fu2qi4,to be convinced;to accept
腹泻,fu4xie4,diarrhea;to have the runs
刚刚,gang1gang1,just recently;just a moment ago
搁,ge1,to place;to put aside;to shelve
更正,geng1zheng4,to correct;to make a correction
公认,gong1ren4,publicly known (to be);accepted (as)
姑且,gu1qie3,temporarily;the time being;for the moment;provisional;tentatively
关照,guan1zhao4,to take care;to keep an eye on;to look after;to tell;to remind
轨道,gui3dao4,orbit;railway or tram line;fig. conventional way of thinking
海滨,hai3bin1,shore;seaside
和蔼,he2ai3,kindly;nice;amiable
烘,hong1,to bake;to heat by fire
湖泊,hu2po1,lake
荒凉,huang1liang2,desolate
昏迷,hun1mi2,to lose consciousness;to be in a coma;stupor;coma;stunned;disoriented
机构,ji1gou4,mechanism;structure;organization;agency;institution;CL:所[suo3]
急功近利,ji2gong1jin4li4,seeking instant benefit (idiom);shortsighted vision, looking only for fast return
季军,ji4jun1,third in a race;bronze medalist
假设,jia3she4,suppose that...;hypothesis;conjecture
检讨,jian3tao3,to examine or inspect;self-criticism;review
鉴于,jian4yu2,in view of;seeing that;considering;whereas
角落,jiao3luo4,nook;corner
解除,jie3chu2,to remove;to sack;to get rid of;to relieve (sb of their duties);to free;to lift (an embargo);to rescind (an agreement)
进攻,jin4gong1,to attack;to assault;to go on the offensive;attack;assault;offense (sports)
精确,jing1que4,accurate;precise
纠纷,jiu1fen1,a dispute;entanglement (law)
沮丧,ju3sang4,dispirited;dejected;dismayed
开朗,kai1lang3,spacious and well-lit;open and clear;to open out (onto a wider vista);optimistic;cheerful;carefree;easy-going;open-minded
考验,kao3yan4,to test;to put to the test
空洞,kong1dong4,cavity;empty;vacuous
跨,kua4,to step across;to stride over;to straddle;to span
喇叭,la3ba,horn (automobile, alarm siren, musical etc) which produces a sound;loudspeaker;brass wind instrument;trumpet;suona 鎖吶|锁呐[suo3 na4]
冷却,leng3que4,to cool off;cooling
力图,li4tu2,try hard to;strive to
淋,lin2,to drain;to drench;to drip;diseases of the bladder
留恋,liu2lian4,reluctant to leave;to hate to have to go;to recall fondly
啰唆,luo1suo,to grumble
迈,mai4,take a step
美观,mei3guan1,pleasing to the eye;beautiful;artistic
免得,mian3de,so as not to;so as to avoid
名副其实,ming2fu4qi2shi2,not just in name only, but also in reality (idiom)
谋求,mou2qiu2,to seek;to strive for
能量,neng2liang4,energy;capabilities
虐待,nve4dai4,to mistreat;to maltreat;to abuse;mistreatment;maltreatment
抛弃,pao1qi4,discard;dump;abandon
屁股,pi4gu,buttocks;bottom;ass
品德,pin3de2,moral character
魄力,po4li4,courage;daring;boldness;resolution;drive
起草,qi3cao3,draft (a bill);draw up (plans)
