案例,an4li4,case (law);CL:個|个[ge4]
掰,bai1,to break with both hands
磅,bang4,see 磅秤 scale;platform balance;pound (unit of weight, about 454 grams)
报答,bao4da2,to repay;to requite
备份,bei4fen4,backup
蹦,beng4,to jump;to bounce;to hop
边缘,bian1yuan2,edge;fringe;verge;brink;periphery;marginal;borderline
标本,biao1ben3,specimen;sample;the root cause and symptoms of a disease
拨打,bo1da3,to call;to dial
步伐,bu4fa2,pace;(measured) step;march
不屑一顾,bu4xie4yi1gu4,to disdain as beneath contempt
参谋,can1mou2,staff officer;give advice
策划,ce4hua4,to plot;to scheme;to bring about;to engineer;planning;producer;planner
颤抖,chan4dou3,to shudder;to shiver;to shake;to tremble
钞票,chao1piao4,paper money;a bill (e.g. 100 yuan);CL:張|张[zhang1],扎[za1]
橙,cheng2,orange tree;orange (color)
秤,cheng4,steelyard;Roman balance;CL:臺|台[tai2]
重叠,chong2die2,to overlap;to superimpose;to telescope;to run together;to duplicate;one over another;superposition;an overlap;redundancy;reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)
储存,chu3cun2,stockpile;to store;to stockpile;storage
创业,chuang4ye4,to begin an undertaking;to start a major task;to initiate;to venture;venture
凑合,cou4he,to bring together;to make do in a bad situation;to just get by;to improvise;passable;not too bad
打架,da3jia4,to fight;to scuffle;to come to blows;CL:場|场[chang2]
怠慢,dai4man4,to slight;to neglect
档案,dang4an4,file;record;archive;Taiwan pr. dang3 an4
登录,deng1lu4,to register;to login
点缀,dian3zhui4,to decorate;an ornament;to adorn;only for show
东道主,dong1dao4zhu3,host;official host (e.g. venue for games or a conference)
斗争,dou4zheng1,a struggle;fight;battle
对称,dui4chen4,symmetry;symmetrical
遏制,e4zhi4,to check;to contain;to hold back;to keep within limits;to constrain;to restrain
法人,fa3ren2,legal person;corporation;see also 自然人|自然人[zi4 ran2 ren2]
反问,fan3wen4,to ask (a question) in reply;to answer a question with a question;rhetorical question
非法,fei1fa3,illegal
分明,fen1ming2,clearly demarcated;sharply contoured
风趣,feng1qu4,humor;wit;humorous;witty
福气,fu2qi,good fortune;to enjoy good fortune
复兴,fu4xing1,to revive;rebirth
纲领,gang1ling3,program;guiding principle
疙瘩,ge1da,swelling or lump on skin;pimple;knot;preoccupation;problem
公安局,gong1an1ju2,Public Security Bureau
公式,gong1shi4,formula
股东,gu3dong1,shareholder;stockholder
管辖,guan3xia2,to administer;to have jurisdiction (over)
跪,gui4,kneel
含糊,han2hu,obscurity;vague
合并,he2bing4,to merge;to annex
轰动,hong1dong4,sensation;stir
互联网,hu4lian2wang3,the Internet
慌忙,huang1mang2,in a great rush;in a flurry
浑身,hun2shen1,all over;from head to foot
机关,ji1guan1,mechanism;gear;machine-operated;office;agency;organ;organization;establishment;institution;body;strategum;scheme;intrigue;plot;trick;CL:個|个[ge4]
籍贯,ji2guan4,one's native place;place of ancestry;registered birthplace
技能,ji4neng2,technical ability;skill
假使,jia3shi3,if;in case;suppose;given ...
简体字,jian3ti3zi4,simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]
将近,jiang1jin4,almost;nearly;close to
缴纳,jiao3na4,to pay (taxes etc)
解雇,jie3gu4,to fire;to sack;to dismiss
进化,jin4hua4,evolution;CL:個|个[ge4]
经商,jing1shang1,to trade;to carry out commercial activities;in business
纠正,jiu1zheng4,to correct;to make right
举世闻名,ju3shi4wen2ming2,(saying) world famous
开明,kai1ming2,enlightened;open-minded;enlightenment
靠拢,kao4long3,to draw close to
空前绝后,kong1qian2jue2hou4,unprecedented and never to be duplicated;the first and the last;unmatched;unique
快活,kuai4huo,happy;cheerful
来历,lai2li4,history;antecedents;origin
愣,leng4,to look distracted;to stare blankly;distracted;blank;(coll.) unexpectedly
例外,li4wai4,(make an) exception
临床,lin2chuang2,clinical
流露,liu2lu4,to express;to reveal (one's thoughts or feelings)
螺丝钉,luo2si1ding1,screw
脉搏,mai4bo2,a pulse (both medical and figurative)
美满,mei3man3,happy;blissful
勉励,mian3li4,to encourage
明明,ming2ming2,obviously;plainly;undoubtedly;definitely
模样,mu2yang4,look;style;appearance;approximation;about;CL:個|个[ge4]
嗯,ńg,(a groaning sound)
哦,o4,oh;ah
泡沫,pao4mo4,foam;(soap) bubble;(economic) bubble
譬如,pi4ru2,for example;for instance;such as
品行,pin3xing2,behavior;moral conduct
扑,pu1,to assault;to pounce;to rush at sth;to throw oneself on
启程,qi3cheng2,to set out on a journey
气色,qi4se4,complexion
牵制,qian1zhi4,to control;to curb;to restrict;to impede;to pin down (enemy troops)
亲热,qin1re4,affectionate;intimate;warm-hearted
情报,qing2bao4,(spy) intelligence;information-gathering
曲子,qu3zi,poem for singing;tune;music;CL:支[zhi1]
确信,que4xin4,to be convinced;to be sure;to firmly believe;to be positive that;definite news
人性,ren2xing4,human nature;humanity;human;the totality of human attributes
融洽,rong2qia4,harmonious;friendly relations;on good terms with one another
山脉,shan1mai4,mountain range;CL:條|条[tiao2]
设立,she4li4,to set up;to establish
神态,shen2tai4,appearance;manner;bearing;deportment;look;expression;mien
生效,sheng1xiao4,to take effect;to go into effect
拾,shi2,to pick up;to collate or arrange;ten (banker's anti-fraud numeral)
势必,shi4bi4,is bound to (happen)
事项,shi4xiang4,matter;item
舒畅,shu1chang4,happy;entirely free from worry
涮火锅,shuan4huo3guo1,to instant-boil (mutton, beef, vegetables, etc.)
四肢,si4zhi1,the four limbs of the body
岁月,sui4yue4,years;passing of time
探索,tan4suo3,to explore;to probe;commonly used in names of publications or documentaries
提议,ti2yi4,proposal;suggestion;to propose;to suggest
