按摩,an4mo2,massage
百分点,bai3fen1dian3,percentage point
包庇,bao1bi4,shield;harbor;cover up
报到,bao4dao4,report for duty;check in;register
被告,bei4gao4,defendant
迸发,beng4fa1,to burst out;to gush;to spurt
编织,bian1zhi1,to weave;to knit;to plait;to braid
标记,biao1ji4,sign;mark;symbol;to mark up
播放,bo1fang4,to broadcast;to transmit
不妨,bu4fang2,there is no harm in;might as well
不言而喻,bu4yan2er2yu4,it goes without saying;it is self-evident
参照,can1zhao4,to consult a reference;to refer to (another document)
测量,ce4liang2,survey;to measure;to gauge;to determine
猖狂,chang1kuang2,savage;furious
超越,chao1yue4,to surpass;to exceed;to transcend
盛,cheng2,to hold;contain;to ladle;pick up with a utensil
吃苦,chi1ku3,to bear;hardships
崇高,chong2gao1,majestic;sublime
处分,chu3fen4,to discipline sb;to punish;disciplinary action;to deal with (a matter);CL:個|个[ge4]
创作,chuang4zuo4,to create;to produce;to write;creative work;creation;CL:個|个[ge4]
粗鲁,cu1lu3,crude;coarse;rough
打量,da3liang,to size sb up;to take measure of;to suppose;to reckon
担保,dan1bao3,to guarantee;to vouch for
档次,dang4ci4,grade;class;quality;level
等级,deng3ji2,degree;rate
垫,dian4,pad;cushion;mat
东张西望,dong1zhang1xi1wang4,to look in all directions (idiom);to glance around
督促,du1cu4,to urge sb to complete a task
对付,dui4fu,to handle;to deal with;to cope;to get by with
恩怨,en1yuan4,(feeling of) resentment;(longstanding) grudge
番,fan1,to take turns;order in series;time;a kind of;barbarians
反之,fan3zhi1,on the other hand...;conversely...
飞禽走兽,fei1qin2zou3shou4,birds and animals;the beasts of the field and the birds of the air
分歧,fen1qi2,difference (of opinion, position);bifurcation
丰盛,feng1sheng4,rich;sumptuous
辐射,fu2she4,radiation
赋予,fu4yu3,to assign;to entrust (a task);to give;to bestow
港口,gang3kou3,port;harbor
歌颂,ge1song4,sing the praises of;extol;eulogize
供不应求,gong1bu4ying4qiu2,supply does not meet demand
公务,gong1wu4,official business
古董,gu3dong3,curio;antique
罐,guan4,can;jar;pot
贵族,gui4zu2,lord;nobility;nobleman;noblewoman;aristocrat;aristocracy
寒暄,han2xuan1,exchanging conventional greetings;to talk about the weather
合成,he2cheng2,to compose;to constitute;compound;synthesis;mixture;synthetic
红包,hong2bao1,lit. money wrapped in red as a gift;a bonus payment;a kickback;a bribe
华丽,hua2li4,gorgeous
荒谬,huang1miu4,absurd;ridiculous
混合,hun4he2,to mix;to blend
基金,ji1jin1,fund
即将,ji2jiang1,on the eve of;to be about to;to be on the verge of
技巧,ji4qiao3,skill;technique
坚定,jian1ding4,firm;steady;staunch;resolute
检验,jian3yan4,to inspect;to examine;to test
将军,jiang1jun1,(Military) admiral;(chess) to check;to embarrass
较量,jiao4liang4,to have a contest with sb;to cross swords;to measure up against;to compete with;to haggle;to quibble
解剖,jie3pou1,to dissect (an animal);to analyze;anatomy
近来,jin4lai2,recently;lately
精通,jing1tong1,proficient
酒精,jiu3jing1,alcohol;ethanol CH3CH2OH;ethyl alcohol;also written 乙醇;grain alcohol
举世瞩目,ju3shi4zhu3mu4,attract worldwide attention
开辟,kai1pi4,to open up;to set up;to start;to build
磕,ke1,to tap;knock
空想,kong1xiang3,daydream;fantasy;to fantasize
宽敞,kuan1chang,spacious;wide
来源,lai2yuan2,source (of information etc);origin
黎明,li2ming2,dawn;daybreak
力争,li4zheng1,to work hard for;to do all one can;to contend strongly
吝啬,lin4se4,stingy;mean;miserly
流氓,liu2mang2,rogue;hoodlum;gangster;immoral behavior
落成,luo4cheng2,to complete a construction project
埋怨,man2yuan4,to complain
美妙,mei3miao4,beautiful;wonderful;splendid
勉强,mian3qiang3,to do with difficulty;to force sb to do sth;reluctant;barely enough
名誉,ming2yu4,fame;reputation;honor;honorary;emeritus (of retired professor)
母语,mu3yu3,native language;mother language
拟定,ni3ding4,to draw up;to draft;to formulate
殴打,ou1da3,to beat up;to come to blows;battery (law)
培训,pei2xun4,to cultivate;to train;to groom;training
偏差,pian1cha1,bias;deviation
品质,pin3zhi4,quality
铺,pu1,to spread;to extend;to pave;to lay
起初,qi3chu1,originally;at first;at the outset
气势,qi4shi4,momentum;manner;energy;look of great force or imposing manner;powerful
前景,qian2jing3,foreground;vista;(future) prospects;perspective
亲身,qin1shen1,personal;oneself
情节,qing2jie2,plot;circumstances
趣味,qu4wei4,fun;interest;delight;taste;liking;preference
群众,qun2zhong4,mass;multitude;the masses
人质,ren2zhi4,hostage
容忍,rong2ren3,to put up with;to tolerate
闪烁,shan3shuo4,flicker;twinkling
社区,she4qu1,community
神仙,shen2xian1,Daoist immortal;supernatural entity;(in modern fiction) fairy, elf, leprechaun etc;fig. lighthearted person;used in advertising: Live like an immortal! 活神仙似
生锈,sheng1xiu4,to rust;to grow rusty;to corrode;oxidization
识别,shi2bie2,to distinguish;to discern
世代,shi4dai4,generation;an era;accumulation of years;passing on from generation to generation
试验,shi4yan4,experiment;test;experimental;CL:次[ci4],個|个[ge4]
书法,shu1fa3,calligraphy;handwriting;penmanship
双胞胎,shuang1bao1tai1,twin;CL:對|对[dui4]
耸,song3,to excite;to raise up;to shrug;high;lofty;towering
损坏,sun3huai4,to damage;to injure
探讨,tan4tao3,to investigate;to probe
体谅,ti3liang4,to empathize;to allow (for something);to show understanding;to appreciate
条理,tiao2li3,arrangement;order;tidiness
同志,tong2zhi4,comrade;homosexual (slang);CL:個|个[ge4]
团员,tuan2yuan2,member;group member
瓦解,wa3jie3,to collapse;to disintegrate;to crumble
万分,wan4fen1,very much;extremely;one ten thousandth part
维生素,wei2sheng1su4,vitamin
文艺,wen2yi4,literature and art
无能为力,wu2neng2wei2li4,impotent (idiom);powerless;helpless
膝盖,xi1gai4,knee
峡谷,xia2gu3,canyon;gill;ravine
现成,xian4cheng2,ready-made;readily available
项,xiang4,neck;sum;funds
协商,xie2shang1,to consult with;to talk things over;agreement
欣慰,xin1wei4,to be gratified
幸好,xing4hao3,fortunately
虚假,xu1jia3,false;phony;pretense
选手,xuan3shou3,athlete;contestant
压榨,ya1zha4,to press;to squeeze;to extract juice, oil etc by squeezing
演变,yan3bian4,to develop;to evolve
摇摆,yao2bai3,to waver;swaying (of building in an earthquake)
一贯,yi1guan4,consistent;constant;from start to finish;all along;persistent
疑惑,yi2huo4,to doubt;to distrust;unconvincing;to puzzle over;misgivings;suspicions
意图,yi4tu2,intent;intention;intend;schematic diagram
婴儿,ying1er2,infant;baby;CL:個|个[ge4];lead (Pb)
优胜劣汰,you1sheng4lie4tai4,survival of the fittest
予以,yu3yi3,to give;to impose;to apply
源泉,yuan2quan2,fountainhead;well-spring;water source;fig. origin
咋,za3,(dialect) why;how;what
造反,zao4fan3,rebel;revolt
展示,zhan3shi4,to reveal;to display;to show;to exhibit sth
招投标,zhao1tou2biao1,bidding;tender
斟酌,zhen1zhuo2,to consider;to deliberate;to fill up a cup to the brim
正月,zheng1yue4,first month of the lunar year
脂肪,zhi1fang2,body fat
指南针,zhi3nan2zhen1,compass
制约,zhi4yue1,to restrict;condition
重心,zhong4xin1,center of gravity;central core;main part
主导,zhu3dao3,to lead;to manage
专程,zhuan1cheng2,special-purpose trip
壮烈,zhuang4lie4,brave;heroic
自卑,zi4bei1,feeling inferior;self-abased
足以,zu2yi3,sufficient to...;so much so that;so that
座右铭,zuo4you4ming2,motto;maxim
