暗示,an4shi4,to hint;to suggest;suggestion;a hint
摆脱,bai3tuo1,to break away from;to cast off (old ideas etc);to get rid of;to break away (from);to break out (of);to free oneself from;to extricate oneself
包袱,bao1fu,cloth-wrapper;a bundle wrapped in cloth;load;weight;burden
爆发,bao4fa1,to break out;to erupt;to explode;to burst out
贝壳,bei4ke2,shell;conch;cowry;mother of pearl;hard outer skin;alternative reading bei4 qiao4, mostly written
逼迫,bi1po4,to force;to compel;to coerce
扁,bian3,flat;(old form of character 匾, horizontal tablet with inscription)
飙升,biao1sheng1,to rise rapidly;to soar
波浪,bo1lang4,wave
不敢当,bu4gan3dang1,lit. I dare not (accept the honor);fig. I don't deserve your praise;you flatter me
不由得,bu4you2de,can't help;cannot but
残酷,can2ku4,cruel;cruelty
策略,ce4lve4,tactics;to be tactful
昌盛,chang1sheng4,prosperous
潮流,chao2liu2,tide;current;trend
承办,cheng2ban4,to undertake;to accept a contract
吃力,chi1li4,entail strenuous effort;be a strain
崇敬,chong2jing4,to revere;high esteem
处境,chu3jing4,plight;unfavorable situation
吹牛,chui1niu2,to brag;to chat (dialect)
窜,cuan4,to flee;to scuttle;to exile or banish;to amend or edit
打猎,da3lie4,to go hunting
胆怯,dan3qie4,timid;cowardly
倒闭,dao3bi4,to go bankrupt;to close down
瞪,deng4,to open (one's eyes) wide;to stare at;to glare at
奠定,dian4ding4,to establish;to fix;to settle
董事长,dong3shi4zhang3,chairman of the board;chairman
都市,du1shi4,city;metropolis
兑换,dui4huan4,to convert;to exchange
而已,er2yi3,that's all;nothing more
翻,fan1,to turn over;to flip over;to overturn;to translate;to decode
范畴,fan4chou2,category
飞翔,fei1xiang2,fly
分散,fen1san4,scatter;disperse;distribute
丰收,feng1shou1,bumper harvest
腐败,fu3bai4,corruption;corrupt;rotten
富裕,fu4yu4,abundant;affluent;richness;affluence
港湾,gang3wan1,natural harbor;bay serving as harbor
隔阂,ge2he2,estrangement
公道,gong1dao4,justice;fairness;public highway
功效,gong1xiao4,efficacy
鼓动,gu3dong4,to agitate;to arouse;to instigate;to encite
贯彻,guan4che4,to implement;to put into practice;to carry out
棍棒,gun4bang4,club
含义,han2yi4,meaning (implicit in a phrase);implied meaning;hidden meaning;hint;connotation
合乎,he2hu1,to accord with;conforming to
宏观,hong2guan1,macro-;macroscopic;holistic
华侨,hua2qiao2,overseas Chinese;CL:個|个[ge4],位[wei4]
荒唐,huang1tang2,beyond belief;preposterous;absurd;intemperate;dissipated
混乱,hun4luan4,confusion;chaos;disorder
激励,ji1li4,to encourage;to urge;motivation;incentive
急剧,ji2ju4,rapid;sudden
寄托,ji4tuo1,to have sb look after sb;to entrust the care of sb;to place (hope etc) on
监督,jian1du1,to control;to supervise;to inspect
简要,jian3yao4,concise;brief
僵硬,jiang1ying4,stark;stiff
教养,jiao4yang3,to train;to educate;to bring up;to nurture;education;culture;upbringing;early conditioning
解散,jie3san4,dissolve;disband
浸泡,jin4pao4,to steep;to soak;to immerse
经纬,jing1wei3,warp and woof;longitude and latitude;main points
救济,jiu4ji4,emergency relief;to help the needy with cash or goods
举足轻重,ju3zu2qing1zhong4,a foot's move sways the balance (idiom);to hold the balance of power;to play the decisive role
开水,kai1shui3,boiled water;boiling water
颗粒,ke1li4,kernel;granule;granulated (sugar, chemical product)
空虚,kong1xu1,hollow;emptiness;meaningless
款待,kuan3dai4,entertain
栏目,lan2mu4,a column (in a newspaper or on a news website)
理睬,li3cai3,to heed;to pay attention to
立足,li4zu2,to stand;to have a footing;to be established;to base oneself on
凌晨,ling2chen2,early in the morning
留念,liu2nian4,to keep as a souvenir;to recall fondly
落实,luo4shi2,practical;workable;to implement;to carry out;to decide
漫长,man4chang2,very long;endless
门诊,men2zhen3,outpatient service
免疫,mian3yi4,immunity (to disease)
命名,ming4ming2,to give a name to;to dub;to christen;to designate;named after;naming
目睹,mu4du3,to witness;to see at first hand;to see with one's own eyes
年度,nian2du4,year (e.g. school year, fiscal year)
欧洲,Ou1zhou1,Europe;European
培育,pei2yu4,to train;to breed
偏见,pian1jian4,prejudice
平凡,ping2fan2,commonplace;ordinary;mediocre
普及,pu3ji2,popular;to popularize;universal;ubiquitous;pervasive
起伏,qi3fu2,to move up and down;to undulate;ups and downs
气味,qi4wei4,odor;scent
潜力,qian2li4,potential;capacity
勤俭,qin2jian3,hardworking and frugal
晴朗,qing2lang3,sunny and cloudless
圈套,quan1tao4,trap;snare;trick
染,ran3,to dye;to catch (a disease);to acquire (bad habits etc);to contaminate;to add colour washes to a painting
忍耐,ren3nai4,to show restraint;to repress (anger etc);to exercise patience
揉,rou2,to knead;to massage;to rub
擅长,shan4chang2,to be good at;to be expert in
摄取,she4qu3,absorb (nutrition);take a photo
审查,shen3cha2,to examine;to investigate;to censor out;censorship
生育,sheng1yu4,to bear;to give birth;to grow;to rear;to bring up (children)
时差,shi2cha1,time difference;time lag;jet lag
示范,shi4fan4,to demonstrate;to show how to do sth;demonstration;a model example
视野,shi4ye3,field of view;horizon
疏忽,shu1hu,to neglect;to overlook;negligence;carelessness
爽快,shuang3kuai4,refreshed;rejuvenated;frank and straightforward
艘,sou1,classifier for ships;Taiwan pr. sao1
索赔,suo3pei2,to ask for compensation;to claim damages;claim for damages
探望,tan4wang4,to visit
体面,ti3mian4,dignity;face (as in losing face);honorable;creditable;pretty
调料,tiao2liao4,condiment;seasoning;flavoring
统筹兼顾,tong3chou2jian1gu4,an overall plan taking into account all factors
