熬,ao2,(of cooking) to boil for a long time;to endure;to suffer
拜年,bai4nian2,pay a New Year call;wish sb a Happy New Year
保管,bao3guan3,to assure;to guarantee;to take care of;to safeguard;certainly;surely
曝光,bao4guang1,exposure (e.g. of photosensitive material);to expose (a scandal to the public)
备忘录,bei4wang4lu4,memorandum;aide-memoire;memorandum book
比喻,bi3yu4,metaphor;analogy;figure of speech;figuratively
遍布,bian4bu4,to cover the whole (area);to be found throughout
表态,biao3tai4,to declare one's position;to say where one stands
播种,bo1zhong4,to sow seeds;sowing;seed
不禁,bu4jin1,can't help (doing sth);can't refrain from
布置,bu4zhi4,to put in order;to arrange;to decorate;to fix up;to deploy
灿烂,can4lan4,to glitter;brilliant;splendid
层次,ceng2ci4,arrangement of ideas;administrative level;level;stage;phase
尝试,chang2shi4,to try;to attempt;CL:次[ci4]
撤退,che4tui4,retreat
成本,cheng2ben3,(manufacturing, production etc) costs
池塘,chi2tang2,pool;pond
筹备,chou2bei4,preparations;to get ready for sth
触犯,chu4fan4,offend
垂直,chui2zhi2,perpendicular;vertical
搓,cuo1,to rub or roll between the hands or fingers;to twist
大臣,da4chen2,minister (of a monarchy)
淡季,dan4ji4,off season;slow business season;(see also 旺季)
捣乱,dao3luan4,to disturb;to look for trouble;to stir up a row;to bother sb intentionally
抵达,di3da2,arrive;reach (a destination)
叼,diao1,to hold in the mouth
动机,dong4ji1,motor;locomotive;motive;motivation;intention
赌博,du3bo2,to gamble
对联,dui4lian2,rhyming couplet;pair of lines of verse written vertically down the sides of a doorway;CL:幅[fu2]
发布,fa1bu4,to release;to issue;to announce;to distribute;also written 發布|发布[fa1 bu4]
繁体字,fan2ti3zi4,traditional Chinese character
方位,fang1wei4,direction;points of the compass;bearing;position;azimuth
诽谤,fei3bang4,slander;libel
粉末,fen3mo4,fine powder;dust
风味,feng1wei4,local flavor;local style
腐朽,fu3xiu3,rotten;decayed;decadent;degenerate
盖章,gai4zhang1,to affix a seal (to sth)
高超,gao1chao1,excellent;superlative
格式,ge2shi4,form;specification;format
公告,gong1gao4,post;announcement
公证,gong1zheng4,notarization;notarized;acknowledgement
古怪,gu3guai4,eccentric;grotesque;oddly;queer
光彩,guang1cai3,luster;splendor;radiance;brilliance
果断,guo3duan4,firm;decisive
航空,hang2kong1,aviation
和睦,he2mu4,peaceful relations;harmonious
喉咙,hou2long2,throat;larynx
画蛇添足,hua4she2tian1zu2,lit. draw legs on a snake (idiom);fig. to ruin the effect by adding sth superfluous;to overdo it
辉煌,hui1huang2,splendid;glorious
活该,huo2gai1,(coll.) serve sb right;deservedly;ought;should
激情,ji1qing2,passion;fervor;enthusiasm;strong emotion
极限,ji2xian4,limit;extreme boundary
记性,ji4xing,memory;recall
艰难,jian1nan2,difficult;hard;challenging
间谍,jian4die2,spy
奖赏,jiang3shang3,reward;prize;an award
揭发,jie1fa1,to expose;to bring to light;to disclose;revelation
借鉴,jie4jian4,to use other people's experience;to borrow from a source;to use as reference
劲头,jin4tou2,enthusiasm;zeal;vigor;strength
精益求精,jing1yi4qiu2jing1,to perfect sth that is already outstanding (idiom);constantly improving
就职,jiu4zhi2,take office;assume a post
剧烈,ju4lie4,violent;acute;severe;fierce
开支,kai1zhi1,expenditures;pay;expenses;CL:筆|笔[bi3]
可口,ke3kou3,tasty;to taste good
恐惧,kong3ju4,fear;dread;phobia
框架,kuang4jia4,frame;framework;fig. pattern;outline;organizing plan
朗读,lang3du2,read aloud;read loudly and clearly
理所当然,li3suo3dang1ran2,as it should be by rights (idiom);proper and to be expected as a matter of course;inevitable and right
联络,lian2luo4,communication;to get in touch with;to contact;connection (math.)
伶俐,ling2li4,clever;witty;intelligent
聋哑,long2ya3,deaf and dumb;deaf-mute;surdimutism
履行,lv3xing2,to fulfill (one's obligations);to carry out (a task);to implement (an agreement);to perform
蔓延,man4yan2,to extend;to spread
猛烈,meng3lie4,fierce;violent (criticism etc)
描绘,miao2hui4,to describe;to portray
摩擦,mo2ca1,friction;rubbing;chafing;fig. disharmony;conflict;same as 磨擦
拿手,na2shou3,expert in;good at
凝固,ning2gu4,to freeze;to solidify;to congeal;fig. with rapt attention
排斥,pai2chi4,to reject;to exclude;to eliminate;to remove;to repel
配套,pei4tao4,to form a complete set;coherent
片段,pian4duan4,fragment (of speech etc);extract (from book etc);episode (of story etc)
平面,ping2mian4,plane (flat surface);print media
欺负,qi1fu,to bully
起码,qi3ma3,at the minimum;at the very least
掐,qia1,to pick (flowers);to pinch;to clutch;(slang) to fight
潜移默化,qian2yi2mo4hua4,imperceptible influence;to influence secretly
清澈,qing1che4,clear;limpid
请柬,qing3jian3,invitation card;written invitation
全力以赴,quan2li4yi3fu4,do at all costs;make an all-out effort
扰乱,rao3luan4,to disturb;to perturb;to harass
认可,ren4ke3,to approve;approval;acknowledgment;OK
若干,ruo4gan1,a certain number or amount;how many?;how much?
商标,shang1biao1,trademark;logo
设置,she4zhi4,to set up;to install
审判,shen3pan4,a trial;to try sb
盛产,sheng4chan3,superabundant;to teem with;to produce in abundance;to abound in
时光,shi2guang1,time;era;period of time
事故,shi4gu4,accident;CL:樁|桩[zhuang1],起[qi3],次[ci4]
示意,shi4yi4,to hint;to indicate (an idea to sb)
书面,shu1mian4,in writing;written (guarantee etc)
水泥,shui3ni2,cement;CL:袋[dai4]
俗话,su2hua4,common saying;proverb
踏实,ta1shi,practical;down-to-earth;realistic;firmly based;steadfast;to have peace of mind;free from anxiety
滔滔不绝,tao1tao1bu4jue2,unceasing torrent (idiom);talking non-stop;gabbling forty to the dozen
天伦之乐,tian1lun2zhi1le4,pleasure of heavenly agreement (idiom);family love and joy;domestic bliss
挑衅,tiao3xin4,to provoke;provocation
投机,tou2ji1,to speculate (on financial markets);opportunistic;congenial;agreeable
推论,tui1lun4,to infer;a deduction;a corollary;a reasoned conclusion
外行,wai4hang2,layman;amateur
妄想,wang4xiang3,to attempt vainly;a vain attempt
伪造,wei3zao4,to forge;to fake;to counterfeit
污蔑,wu1mie4,slander
无知,wu2zhi1,ignorance
牺牲,xi1sheng1,to sacrifice oneself;to lay down one's life;to do sth at the expense of;beast slaughtered for sacrifice;sacrifice;CL:個|个[ge4]
先进,xian1jin4,advanced (technology);to advance
